1 x 1 = 0-1, 1 x 2 = 0-2, 1 x 3 = 0-3, 1 x 4 = 0-4, 1 x 5 = 0-5, 1 x 6 = 0-6, 1 x 7 = 0-7, 1 x 8 = 0-8, 1 x 9 = 0-9, 1 x 10 = 0-10, 1 x 11 = 0-11, 1 x 12 = 0-12, 1 x 13 = 0-13, 1 x 14 = 0-14, 1 x 15 = 0-15, 1 x 16 = 0-16, 1 x 17 = 0-17, 1 x 18 = 0-18, 1 x 19 = 0-19, 1 x 20 = 0-20, 1 x 21 = 0-21, 1 x 22 = 0-22, 1 x 23 = 0-23, 1 x 24 = 0-24, 1 x 25 = 0-25, 1 x 26 = 0-26, 1 x 27 = 0-27, 1 x 28 = 0-28, 1 x 29 = 0-29, 1 x 30 = 0-30, 1 x 31 = 0-31, 1 x 32 = 0-32, 1 x 33 = 0-33, 1 x 34 = 0-34, 1 x 35 = 0-35, 1 x 36 = 0-36, 1 x 37 = 0-37, 1 x 38 = 0-38, 1 x 39 = 0-39, 1 x 40 = 0-40, 1 x 41 = 0-41, 1 x 42 = 0-42, 
2 x 1 = 0-2, 2 x 2 = 0-4, 2 x 3 = 0-6, 2 x 4 = 0-8, 2 x 5 = 0-10, 2 x 6 = 0-12, 2 x 7 = 0-14, 2 x 8 = 0-16, 2 x 9 = 0-18, 2 x 10 = 0-20, 2 x 11 = 0-22, 2 x 12 = 0-24, 2 x 13 = 0-26, 2 x 14 = 0-28, 2 x 15 = 0-30, 2 x 16 = 0-32, 2 x 17 = 0-34, 2 x 18 = 0-36, 2 x 19 = 0-38, 2 x 20 = 0-40, 2 x 21 = 0-42, 2 x 22 = 1-1, 2 x 23 = 1-3, 2 x 24 = 1-5, 2 x 25 = 1-7, 2 x 26 = 1-9, 2 x 27 = 1-11, 2 x 28 = 1-13, 2 x 29 = 1-15, 2 x 30 = 1-17, 2 x 31 = 1-19, 2 x 32 = 1-21, 2 x 33 = 1-23, 2 x 34 = 1-25, 2 x 35 = 1-27, 2 x 36 = 1-29, 2 x 37 = 1-31, 2 x 38 = 1-33, 2 x 39 = 1-35, 2 x 40 = 1-37, 2 x 41 = 1-39, 2 x 42 = 1-41, 
3 x 1 = 0-3, 3 x 2 = 0-6, 3 x 3 = 0-9, 3 x 4 = 0-12, 3 x 5 = 0-15, 3 x 6 = 0-18, 3 x 7 = 0-21, 3 x 8 = 0-24, 3 x 9 = 0-27, 3 x 10 = 0-30, 3 x 11 = 0-33, 3 x 12 = 0-36, 3 x 13 = 0-39, 3 x 14 = 0-42, 3 x 15 = 1-2, 3 x 16 = 1-5, 3 x 17 = 1-8, 3 x 18 = 1-11, 3 x 19 = 1-14, 3 x 20 = 1-17, 3 x 21 = 1-20, 3 x 22 = 1-23, 3 x 23 = 1-26, 3 x 24 = 1-29, 3 x 25 = 1-32, 3 x 26 = 1-35, 3 x 27 = 1-38, 3 x 28 = 1-41, 3 x 29 = 2-1, 3 x 30 = 2-4, 3 x 31 = 2-7, 3 x 32 = 2-10, 3 x 33 = 2-13, 3 x 34 = 2-16, 3 x 35 = 2-19, 3 x 36 = 2-22, 3 x 37 = 2-25, 3 x 38 = 2-28, 3 x 39 = 2-31, 3 x 40 = 2-34, 3 x 41 = 2-37, 3 x 42 = 2-40, 
4 x 1 = 0-4, 4 x 2 = 0-8, 4 x 3 = 0-12, 4 x 4 = 0-16, 4 x 5 = 0-20, 4 x 6 = 0-24, 4 x 7 = 0-28, 4 x 8 = 0-32, 4 x 9 = 0-36, 4 x 10 = 0-40, 4 x 11 = 1-1, 4 x 12 = 1-5, 4 x 13 = 1-9, 4 x 14 = 1-13, 4 x 15 = 1-17, 4 x 16 = 1-21, 4 x 17 = 1-25, 4 x 18 = 1-29, 4 x 19 = 1-33, 4 x 20 = 1-37, 4 x 21 = 1-41, 4 x 22 = 2-2, 4 x 23 = 2-6, 4 x 24 = 2-10, 4 x 25 = 2-14, 4 x 26 = 2-18, 4 x 27 = 2-22, 4 x 28 = 2-26, 4 x 29 = 2-30, 4 x 30 = 2-34, 4 x 31 = 2-38, 4 x 32 = 2-42, 4 x 33 = 3-3, 4 x 34 = 3-7, 4 x 35 = 3-11, 4 x 36 = 3-15, 4 x 37 = 3-19, 4 x 38 = 3-23, 4 x 39 = 3-27, 4 x 40 = 3-31, 4 x 41 = 3-35, 4 x 42 = 3-39, 
5 x 1 = 0-5, 5 x 2 = 0-10, 5 x 3 = 0-15, 5 x 4 = 0-20, 5 x 5 = 0-25, 5 x 6 = 0-30, 5 x 7 = 0-35, 5 x 8 = 0-40, 5 x 9 = 1-2, 5 x 10 = 1-7, 5 x 11 = 1-12, 5 x 12 = 1-17, 5 x 13 = 1-22, 5 x 14 = 1-27, 5 x 15 = 1-32, 5 x 16 = 1-37, 5 x 17 = 1-42, 5 x 18 = 2-4, 5 x 19 = 2-9, 5 x 20 = 2-14, 5 x 21 = 2-19, 5 x 22 = 2-24, 5 x 23 = 2-29, 5 x 24 = 2-34, 5 x 25 = 2-39, 5 x 26 = 3-1, 5 x 27 = 3-6, 5 x 28 = 3-11, 5 x 29 = 3-16, 5 x 30 = 3-21, 5 x 31 = 3-26, 5 x 32 = 3-31, 5 x 33 = 3-36, 5 x 34 = 3-41, 5 x 35 = 4-3, 5 x 36 = 4-8, 5 x 37 = 4-13, 5 x 38 = 4-18, 5 x 39 = 4-23, 5 x 40 = 4-28, 5 x 41 = 4-33, 5 x 42 = 4-38, 
6 x 1 = 0-6, 6 x 2 = 0-12, 6 x 3 = 0-18, 6 x 4 = 0-24, 6 x 5 = 0-30, 6 x 6 = 0-36, 6 x 7 = 0-42, 6 x 8 = 1-5, 6 x 9 = 1-11, 6 x 10 = 1-17, 6 x 11 = 1-23, 6 x 12 = 1-29, 6 x 13 = 1-35, 6 x 14 = 1-41, 6 x 15 = 2-4, 6 x 16 = 2-10, 6 x 17 = 2-16, 6 x 18 = 2-22, 6 x 19 = 2-28, 6 x 20 = 2-34, 6 x 21 = 2-40, 6 x 22 = 3-3, 6 x 23 = 3-9, 6 x 24 = 3-15, 6 x 25 = 3-21, 6 x 26 = 3-27, 6 x 27 = 3-33, 6 x 28 = 3-39, 6 x 29 = 4-2, 6 x 30 = 4-8, 6 x 31 = 4-14, 6 x 32 = 4-20, 6 x 33 = 4-26, 6 x 34 = 4-32, 6 x 35 = 4-38, 6 x 36 = 5-1, 6 x 37 = 5-7, 6 x 38 = 5-13, 6 x 39 = 5-19, 6 x 40 = 5-25, 6 x 41 = 5-31, 6 x 42 = 5-37, 
7 x 1 = 0-7, 7 x 2 = 0-14, 7 x 3 = 0-21, 7 x 4 = 0-28, 7 x 5 = 0-35, 7 x 6 = 0-42, 7 x 7 = 1-6, 7 x 8 = 1-13, 7 x 9 = 1-20, 7 x 10 = 1-27, 7 x 11 = 1-34, 7 x 12 = 1-41, 7 x 13 = 2-5, 7 x 14 = 2-12, 7 x 15 = 2-19, 7 x 16 = 2-26, 7 x 17 = 2-33, 7 x 18 = 2-40, 7 x 19 = 3-4, 7 x 20 = 3-11, 7 x 21 = 3-18, 7 x 22 = 3-25, 7 x 23 = 3-32, 7 x 24 = 3-39, 7 x 25 = 4-3, 7 x 26 = 4-10, 7 x 27 = 4-17, 7 x 28 = 4-24, 7 x 29 = 4-31, 7 x 30 = 4-38, 7 x 31 = 5-2, 7 x 32 = 5-9, 7 x 33 = 5-16, 7 x 34 = 5-23, 7 x 35 = 5-30, 7 x 36 = 5-37, 7 x 37 = 6-1, 7 x 38 = 6-8, 7 x 39 = 6-15, 7 x 40 = 6-22, 7 x 41 = 6-29, 7 x 42 = 6-36, 
8 x 1 = 0-8, 8 x 2 = 0-16, 8 x 3 = 0-24, 8 x 4 = 0-32, 8 x 5 = 0-40, 8 x 6 = 1-5, 8 x 7 = 1-13, 8 x 8 = 1-21, 8 x 9 = 1-29, 8 x 10 = 1-37, 8 x 11 = 2-2, 8 x 12 = 2-10, 8 x 13 = 2-18, 8 x 14 = 2-26, 8 x 15 = 2-34, 8 x 16 = 2-42, 8 x 17 = 3-7, 8 x 18 = 3-15, 8 x 19 = 3-23, 8 x 20 = 3-31, 8 x 21 = 3-39, 8 x 22 = 4-4, 8 x 23 = 4-12, 8 x 24 = 4-20, 8 x 25 = 4-28, 8 x 26 = 4-36, 8 x 27 = 5-1, 8 x 28 = 5-9, 8 x 29 = 5-17, 8 x 30 = 5-25, 8 x 31 = 5-33, 8 x 32 = 5-41, 8 x 33 = 6-6, 8 x 34 = 6-14, 8 x 35 = 6-22, 8 x 36 = 6-30, 8 x 37 = 6-38, 8 x 38 = 7-3, 8 x 39 = 7-11, 8 x 40 = 7-19, 8 x 41 = 7-27, 8 x 42 = 7-35, 
9 x 1 = 0-9, 9 x 2 = 0-18, 9 x 3 = 0-27, 9 x 4 = 0-36, 9 x 5 = 1-2, 9 x 6 = 1-11, 9 x 7 = 1-20, 9 x 8 = 1-29, 9 x 9 = 1-38, 9 x 10 = 2-4, 9 x 11 = 2-13, 9 x 12 = 2-22, 9 x 13 = 2-31, 9 x 14 = 2-40, 9 x 15 = 3-6, 9 x 16 = 3-15, 9 x 17 = 3-24, 9 x 18 = 3-33, 9 x 19 = 3-42, 9 x 20 = 4-8, 9 x 21 = 4-17, 9 x 22 = 4-26, 9 x 23 = 4-35, 9 x 24 = 5-1, 9 x 25 = 5-10, 9 x 26 = 5-19, 9 x 27 = 5-28, 9 x 28 = 5-37, 9 x 29 = 6-3, 9 x 30 = 6-12, 9 x 31 = 6-21, 9 x 32 = 6-30, 9 x 33 = 6-39, 9 x 34 = 7-5, 9 x 35 = 7-14, 9 x 36 = 7-23, 9 x 37 = 7-32, 9 x 38 = 7-41, 9 x 39 = 8-7, 9 x 40 = 8-16, 9 x 41 = 8-25, 9 x 42 = 8-34, 
10 x 1 = 0-10, 10 x 2 = 0-20, 10 x 3 = 0-30, 10 x 4 = 0-40, 10 x 5 = 1-7, 10 x 6 = 1-17, 10 x 7 = 1-27, 10 x 8 = 1-37, 10 x 9 = 2-4, 10 x 10 = 2-14, 10 x 11 = 2-24, 10 x 12 = 2-34, 10 x 13 = 3-1, 10 x 14 = 3-11, 10 x 15 = 3-21, 10 x 16 = 3-31, 10 x 17 = 3-41, 10 x 18 = 4-8, 10 x 19 = 4-18, 10 x 20 = 4-28, 10 x 21 = 4-38, 10 x 22 = 5-5, 10 x 23 = 5-15, 10 x 24 = 5-25, 10 x 25 = 5-35, 10 x 26 = 6-2, 10 x 27 = 6-12, 10 x 28 = 6-22, 10 x 29 = 6-32, 10 x 30 = 6-42, 10 x 31 = 7-9, 10 x 32 = 7-19, 10 x 33 = 7-29, 10 x 34 = 7-39, 10 x 35 = 8-6, 10 x 36 = 8-16, 10 x 37 = 8-26, 10 x 38 = 8-36, 10 x 39 = 9-3, 10 x 40 = 9-13, 10 x 41 = 9-23, 10 x 42 = 9-33, 
