0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 0-1 x 0-11 = 0-11, 0-1 x 0-12 = 0-12, 0-1 x 0-13 = 0-13, 0-1 x 0-14 = 0-14, 0-1 x 0-15 = 0-15, 0-1 x 0-16 = 0-16, 0-1 x 0-17 = 0-17, 0-1 x 0-18 = 0-18, 0-1 x 0-19 = 0-19, 0-1 x 0-20 = 0-20, 0-1 x 0-21 = 0-21, 0-1 x 0-22 = 0-22, 0-1 x 0-23 = 0-23, 0-1 x 0-24 = 0-24, 0-1 x 0-25 = 0-25, 0-1 x 0-26 = 0-26, 0-1 x 0-27 = 0-27, 0-1 x 0-28 = 0-28, 0-1 x 0-29 = 0-29, 0-1 x 0-30 = 0-30, 0-1 x 0-31 = 0-31, 0-1 x 0-32 = 0-32, 0-1 x 0-33 = 0-33, 0-1 x 0-34 = 0-34, 0-1 x 0-35 = 0-35, 0-1 x 0-36 = 0-36, 0-1 x 0-37 = 0-37, 0-1 x 0-38 = 0-38, 0-1 x 0-39 = 0-39, 0-1 x 0-40 = 0-40, 0-1 x 0-41 = 0-41, 0-1 x 0-42 = 0-42, 0-1 x 0-43 = 0-43, 0-1 x 0-44 = 0-44, 0-1 x 0-45 = 0-45, 0-1 x 0-46 = 0-46, 0-1 x 0-47 = 0-47, 0-1 x 0-48 = 0-48, 0-1 x 0-49 = 0-49, 0-1 x 0-50 = 0-50, 0-1 x 0-51 = 0-51, 0-1 x 0-52 = 0-52, 0-1 x 0-53 = 0-53, 0-1 x 0-54 = 0-54, 0-1 x 0-55 = 0-55, 0-1 x 0-56 = 0-56, 0-1 x 0-57 = 0-57, 0-1 x 0-58 = 0-58, 0-1 x 0-59 = 0-59, 0-1 x 0-60 = 0-60, 0-1 x 0-61 = 0-61, 0-1 x 0-62 = 0-62, 0-1 x 0-63 = 0-63, 0-1 x 0-64 = 0-64, 0-1 x 0-65 = 0-65, 0-1 x 0-66 = 0-66, 0-1 x 0-67 = 0-67, 0-1 x 0-68 = 0-68, 0-1 x 0-69 = 0-69, 0-1 x 0-70 = 0-70, 0-1 x 0-71 = 0-71, 0-1 x 0-72 = 0-72, 0-1 x 0-73 = 0-73, 0-1 x 0-74 = 0-74, 0-1 x 0-75 = 0-75, 0-1 x 0-76 = 0-76, 0-1 x 0-77 = 0-77, 0-1 x 0-78 = 0-78, 0-1 x 0-79 = 0-79, 0-1 x 0-80 = 0-80, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 0-12, 0-2 x 0-7 = 0-14, 0-2 x 0-8 = 0-16, 0-2 x 0-9 = 0-18, 0-2 x 0-10 = 0-20, 0-2 x 0-11 = 0-22, 0-2 x 0-12 = 0-24, 0-2 x 0-13 = 0-26, 0-2 x 0-14 = 0-28, 0-2 x 0-15 = 0-30, 0-2 x 0-16 = 0-32, 0-2 x 0-17 = 0-34, 0-2 x 0-18 = 0-36, 0-2 x 0-19 = 0-38, 0-2 x 0-20 = 0-40, 0-2 x 0-21 = 0-42, 0-2 x 0-22 = 0-44, 0-2 x 0-23 = 0-46, 0-2 x 0-24 = 0-48, 0-2 x 0-25 = 0-50, 0-2 x 0-26 = 0-52, 0-2 x 0-27 = 0-54, 0-2 x 0-28 = 0-56, 0-2 x 0-29 = 0-58, 0-2 x 0-30 = 0-60, 0-2 x 0-31 = 0-62, 0-2 x 0-32 = 0-64, 0-2 x 0-33 = 0-66, 0-2 x 0-34 = 0-68, 0-2 x 0-35 = 0-70, 0-2 x 0-36 = 0-72, 0-2 x 0-37 = 0-74, 0-2 x 0-38 = 0-76, 0-2 x 0-39 = 0-78, 0-2 x 0-40 = 0-80, 0-2 x 0-41 = 1-1, 0-2 x 0-42 = 1-3, 0-2 x 0-43 = 1-5, 0-2 x 0-44 = 1-7, 0-2 x 0-45 = 1-9, 0-2 x 0-46 = 1-11, 0-2 x 0-47 = 1-13, 0-2 x 0-48 = 1-15, 0-2 x 0-49 = 1-17, 0-2 x 0-50 = 1-19, 0-2 x 0-51 = 1-21, 0-2 x 0-52 = 1-23, 0-2 x 0-53 = 1-25, 0-2 x 0-54 = 1-27, 0-2 x 0-55 = 1-29, 0-2 x 0-56 = 1-31, 0-2 x 0-57 = 1-33, 0-2 x 0-58 = 1-35, 0-2 x 0-59 = 1-37, 0-2 x 0-60 = 1-39, 0-2 x 0-61 = 1-41, 0-2 x 0-62 = 1-43, 0-2 x 0-63 = 1-45, 0-2 x 0-64 = 1-47, 0-2 x 0-65 = 1-49, 0-2 x 0-66 = 1-51, 0-2 x 0-67 = 1-53, 0-2 x 0-68 = 1-55, 0-2 x 0-69 = 1-57, 0-2 x 0-70 = 1-59, 0-2 x 0-71 = 1-61, 0-2 x 0-72 = 1-63, 0-2 x 0-73 = 1-65, 0-2 x 0-74 = 1-67, 0-2 x 0-75 = 1-69, 0-2 x 0-76 = 1-71, 0-2 x 0-77 = 1-73, 0-2 x 0-78 = 1-75, 0-2 x 0-79 = 1-77, 0-2 x 0-80 = 1-79, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 0-12, 0-3 x 0-5 = 0-15, 0-3 x 0-6 = 0-18, 0-3 x 0-7 = 0-21, 0-3 x 0-8 = 0-24, 0-3 x 0-9 = 0-27, 0-3 x 0-10 = 0-30, 0-3 x 0-11 = 0-33, 0-3 x 0-12 = 0-36, 0-3 x 0-13 = 0-39, 0-3 x 0-14 = 0-42, 0-3 x 0-15 = 0-45, 0-3 x 0-16 = 0-48, 0-3 x 0-17 = 0-51, 0-3 x 0-18 = 0-54, 0-3 x 0-19 = 0-57, 0-3 x 0-20 = 0-60, 0-3 x 0-21 = 0-63, 0-3 x 0-22 = 0-66, 0-3 x 0-23 = 0-69, 0-3 x 0-24 = 0-72, 0-3 x 0-25 = 0-75, 0-3 x 0-26 = 0-78, 0-3 x 0-27 = 1-0, 0-3 x 0-28 = 1-3, 0-3 x 0-29 = 1-6, 0-3 x 0-30 = 1-9, 0-3 x 0-31 = 1-12, 0-3 x 0-32 = 1-15, 0-3 x 0-33 = 1-18, 0-3 x 0-34 = 1-21, 0-3 x 0-35 = 1-24, 0-3 x 0-36 = 1-27, 0-3 x 0-37 = 1-30, 0-3 x 0-38 = 1-33, 0-3 x 0-39 = 1-36, 0-3 x 0-40 = 1-39, 0-3 x 0-41 = 1-42, 0-3 x 0-42 = 1-45, 0-3 x 0-43 = 1-48, 0-3 x 0-44 = 1-51, 0-3 x 0-45 = 1-54, 0-3 x 0-46 = 1-57, 0-3 x 0-47 = 1-60, 0-3 x 0-48 = 1-63, 0-3 x 0-49 = 1-66, 0-3 x 0-50 = 1-69, 0-3 x 0-51 = 1-72, 0-3 x 0-52 = 1-75, 0-3 x 0-53 = 1-78, 0-3 x 0-54 = 2-0, 0-3 x 0-55 = 2-3, 0-3 x 0-56 = 2-6, 0-3 x 0-57 = 2-9, 0-3 x 0-58 = 2-12, 0-3 x 0-59 = 2-15, 0-3 x 0-60 = 2-18, 0-3 x 0-61 = 2-21, 0-3 x 0-62 = 2-24, 0-3 x 0-63 = 2-27, 0-3 x 0-64 = 2-30, 0-3 x 0-65 = 2-33, 0-3 x 0-66 = 2-36, 0-3 x 0-67 = 2-39, 0-3 x 0-68 = 2-42, 0-3 x 0-69 = 2-45, 0-3 x 0-70 = 2-48, 0-3 x 0-71 = 2-51, 0-3 x 0-72 = 2-54, 0-3 x 0-73 = 2-57, 0-3 x 0-74 = 2-60, 0-3 x 0-75 = 2-63, 0-3 x 0-76 = 2-66, 0-3 x 0-77 = 2-69, 0-3 x 0-78 = 2-72, 0-3 x 0-79 = 2-75, 0-3 x 0-80 = 2-78, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 0-12, 0-4 x 0-4 = 0-16, 0-4 x 0-5 = 0-20, 0-4 x 0-6 = 0-24, 0-4 x 0-7 = 0-28, 0-4 x 0-8 = 0-32, 0-4 x 0-9 = 0-36, 0-4 x 0-10 = 0-40, 0-4 x 0-11 = 0-44, 0-4 x 0-12 = 0-48, 0-4 x 0-13 = 0-52, 0-4 x 0-14 = 0-56, 0-4 x 0-15 = 0-60, 0-4 x 0-16 = 0-64, 0-4 x 0-17 = 0-68, 0-4 x 0-18 = 0-72, 0-4 x 0-19 = 0-76, 0-4 x 0-20 = 0-80, 0-4 x 0-21 = 1-3, 0-4 x 0-22 = 1-7, 0-4 x 0-23 = 1-11, 0-4 x 0-24 = 1-15, 0-4 x 0-25 = 1-19, 0-4 x 0-26 = 1-23, 0-4 x 0-27 = 1-27, 0-4 x 0-28 = 1-31, 0-4 x 0-29 = 1-35, 0-4 x 0-30 = 1-39, 0-4 x 0-31 = 1-43, 0-4 x 0-32 = 1-47, 0-4 x 0-33 = 1-51, 0-4 x 0-34 = 1-55, 0-4 x 0-35 = 1-59, 0-4 x 0-36 = 1-63, 0-4 x 0-37 = 1-67, 0-4 x 0-38 = 1-71, 0-4 x 0-39 = 1-75, 0-4 x 0-40 = 1-79, 0-4 x 0-41 = 2-2, 0-4 x 0-42 = 2-6, 0-4 x 0-43 = 2-10, 0-4 x 0-44 = 2-14, 0-4 x 0-45 = 2-18, 0-4 x 0-46 = 2-22, 0-4 x 0-47 = 2-26, 0-4 x 0-48 = 2-30, 0-4 x 0-49 = 2-34, 0-4 x 0-50 = 2-38, 0-4 x 0-51 = 2-42, 0-4 x 0-52 = 2-46, 0-4 x 0-53 = 2-50, 0-4 x 0-54 = 2-54, 0-4 x 0-55 = 2-58, 0-4 x 0-56 = 2-62, 0-4 x 0-57 = 2-66, 0-4 x 0-58 = 2-70, 0-4 x 0-59 = 2-74, 0-4 x 0-60 = 2-78, 0-4 x 0-61 = 3-1, 0-4 x 0-62 = 3-5, 0-4 x 0-63 = 3-9, 0-4 x 0-64 = 3-13, 0-4 x 0-65 = 3-17, 0-4 x 0-66 = 3-21, 0-4 x 0-67 = 3-25, 0-4 x 0-68 = 3-29, 0-4 x 0-69 = 3-33, 0-4 x 0-70 = 3-37, 0-4 x 0-71 = 3-41, 0-4 x 0-72 = 3-45, 0-4 x 0-73 = 3-49, 0-4 x 0-74 = 3-53, 0-4 x 0-75 = 3-57, 0-4 x 0-76 = 3-61, 0-4 x 0-77 = 3-65, 0-4 x 0-78 = 3-69, 0-4 x 0-79 = 3-73, 0-4 x 0-80 = 3-77, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 0-15, 0-5 x 0-4 = 0-20, 0-5 x 0-5 = 0-25, 0-5 x 0-6 = 0-30, 0-5 x 0-7 = 0-35, 0-5 x 0-8 = 0-40, 0-5 x 0-9 = 0-45, 0-5 x 0-10 = 0-50, 0-5 x 0-11 = 0-55, 0-5 x 0-12 = 0-60, 0-5 x 0-13 = 0-65, 0-5 x 0-14 = 0-70, 0-5 x 0-15 = 0-75, 0-5 x 0-16 = 0-80, 0-5 x 0-17 = 1-4, 0-5 x 0-18 = 1-9, 0-5 x 0-19 = 1-14, 0-5 x 0-20 = 1-19, 0-5 x 0-21 = 1-24, 0-5 x 0-22 = 1-29, 0-5 x 0-23 = 1-34, 0-5 x 0-24 = 1-39, 0-5 x 0-25 = 1-44, 0-5 x 0-26 = 1-49, 0-5 x 0-27 = 1-54, 0-5 x 0-28 = 1-59, 0-5 x 0-29 = 1-64, 0-5 x 0-30 = 1-69, 0-5 x 0-31 = 1-74, 0-5 x 0-32 = 1-79, 0-5 x 0-33 = 2-3, 0-5 x 0-34 = 2-8, 0-5 x 0-35 = 2-13, 0-5 x 0-36 = 2-18, 0-5 x 0-37 = 2-23, 0-5 x 0-38 = 2-28, 0-5 x 0-39 = 2-33, 0-5 x 0-40 = 2-38, 0-5 x 0-41 = 2-43, 0-5 x 0-42 = 2-48, 0-5 x 0-43 = 2-53, 0-5 x 0-44 = 2-58, 0-5 x 0-45 = 2-63, 0-5 x 0-46 = 2-68, 0-5 x 0-47 = 2-73, 0-5 x 0-48 = 2-78, 0-5 x 0-49 = 3-2, 0-5 x 0-50 = 3-7, 0-5 x 0-51 = 3-12, 0-5 x 0-52 = 3-17, 0-5 x 0-53 = 3-22, 0-5 x 0-54 = 3-27, 0-5 x 0-55 = 3-32, 0-5 x 0-56 = 3-37, 0-5 x 0-57 = 3-42, 0-5 x 0-58 = 3-47, 0-5 x 0-59 = 3-52, 0-5 x 0-60 = 3-57, 0-5 x 0-61 = 3-62, 0-5 x 0-62 = 3-67, 0-5 x 0-63 = 3-72, 0-5 x 0-64 = 3-77, 0-5 x 0-65 = 4-1, 0-5 x 0-66 = 4-6, 0-5 x 0-67 = 4-11, 0-5 x 0-68 = 4-16, 0-5 x 0-69 = 4-21, 0-5 x 0-70 = 4-26, 0-5 x 0-71 = 4-31, 0-5 x 0-72 = 4-36, 0-5 x 0-73 = 4-41, 0-5 x 0-74 = 4-46, 0-5 x 0-75 = 4-51, 0-5 x 0-76 = 4-56, 0-5 x 0-77 = 4-61, 0-5 x 0-78 = 4-66, 0-5 x 0-79 = 4-71, 0-5 x 0-80 = 4-76, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 0-12, 0-6 x 0-3 = 0-18, 0-6 x 0-4 = 0-24, 0-6 x 0-5 = 0-30, 0-6 x 0-6 = 0-36, 0-6 x 0-7 = 0-42, 0-6 x 0-8 = 0-48, 0-6 x 0-9 = 0-54, 0-6 x 0-10 = 0-60, 0-6 x 0-11 = 0-66, 0-6 x 0-12 = 0-72, 0-6 x 0-13 = 0-78, 0-6 x 0-14 = 1-3, 0-6 x 0-15 = 1-9, 0-6 x 0-16 = 1-15, 0-6 x 0-17 = 1-21, 0-6 x 0-18 = 1-27, 0-6 x 0-19 = 1-33, 0-6 x 0-20 = 1-39, 0-6 x 0-21 = 1-45, 0-6 x 0-22 = 1-51, 0-6 x 0-23 = 1-57, 0-6 x 0-24 = 1-63, 0-6 x 0-25 = 1-69, 0-6 x 0-26 = 1-75, 0-6 x 0-27 = 2-0, 0-6 x 0-28 = 2-6, 0-6 x 0-29 = 2-12, 0-6 x 0-30 = 2-18, 0-6 x 0-31 = 2-24, 0-6 x 0-32 = 2-30, 0-6 x 0-33 = 2-36, 0-6 x 0-34 = 2-42, 0-6 x 0-35 = 2-48, 0-6 x 0-36 = 2-54, 0-6 x 0-37 = 2-60, 0-6 x 0-38 = 2-66, 0-6 x 0-39 = 2-72, 0-6 x 0-40 = 2-78, 0-6 x 0-41 = 3-3, 0-6 x 0-42 = 3-9, 0-6 x 0-43 = 3-15, 0-6 x 0-44 = 3-21, 0-6 x 0-45 = 3-27, 0-6 x 0-46 = 3-33, 0-6 x 0-47 = 3-39, 0-6 x 0-48 = 3-45, 0-6 x 0-49 = 3-51, 0-6 x 0-50 = 3-57, 0-6 x 0-51 = 3-63, 0-6 x 0-52 = 3-69, 0-6 x 0-53 = 3-75, 0-6 x 0-54 = 4-0, 0-6 x 0-55 = 4-6, 0-6 x 0-56 = 4-12, 0-6 x 0-57 = 4-18, 0-6 x 0-58 = 4-24, 0-6 x 0-59 = 4-30, 0-6 x 0-60 = 4-36, 0-6 x 0-61 = 4-42, 0-6 x 0-62 = 4-48, 0-6 x 0-63 = 4-54, 0-6 x 0-64 = 4-60, 0-6 x 0-65 = 4-66, 0-6 x 0-66 = 4-72, 0-6 x 0-67 = 4-78, 0-6 x 0-68 = 5-3, 0-6 x 0-69 = 5-9, 0-6 x 0-70 = 5-15, 0-6 x 0-71 = 5-21, 0-6 x 0-72 = 5-27, 0-6 x 0-73 = 5-33, 0-6 x 0-74 = 5-39, 0-6 x 0-75 = 5-45, 0-6 x 0-76 = 5-51, 0-6 x 0-77 = 5-57, 0-6 x 0-78 = 5-63, 0-6 x 0-79 = 5-69, 0-6 x 0-80 = 5-75, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 0-14, 0-7 x 0-3 = 0-21, 0-7 x 0-4 = 0-28, 0-7 x 0-5 = 0-35, 0-7 x 0-6 = 0-42, 0-7 x 0-7 = 0-49, 0-7 x 0-8 = 0-56, 0-7 x 0-9 = 0-63, 0-7 x 0-10 = 0-70, 0-7 x 0-11 = 0-77, 0-7 x 0-12 = 1-3, 0-7 x 0-13 = 1-10, 0-7 x 0-14 = 1-17, 0-7 x 0-15 = 1-24, 0-7 x 0-16 = 1-31, 0-7 x 0-17 = 1-38, 0-7 x 0-18 = 1-45, 0-7 x 0-19 = 1-52, 0-7 x 0-20 = 1-59, 0-7 x 0-21 = 1-66, 0-7 x 0-22 = 1-73, 0-7 x 0-23 = 1-80, 0-7 x 0-24 = 2-6, 0-7 x 0-25 = 2-13, 0-7 x 0-26 = 2-20, 0-7 x 0-27 = 2-27, 0-7 x 0-28 = 2-34, 0-7 x 0-29 = 2-41, 0-7 x 0-30 = 2-48, 0-7 x 0-31 = 2-55, 0-7 x 0-32 = 2-62, 0-7 x 0-33 = 2-69, 0-7 x 0-34 = 2-76, 0-7 x 0-35 = 3-2, 0-7 x 0-36 = 3-9, 0-7 x 0-37 = 3-16, 0-7 x 0-38 = 3-23, 0-7 x 0-39 = 3-30, 0-7 x 0-40 = 3-37, 0-7 x 0-41 = 3-44, 0-7 x 0-42 = 3-51, 0-7 x 0-43 = 3-58, 0-7 x 0-44 = 3-65, 0-7 x 0-45 = 3-72, 0-7 x 0-46 = 3-79, 0-7 x 0-47 = 4-5, 0-7 x 0-48 = 4-12, 0-7 x 0-49 = 4-19, 0-7 x 0-50 = 4-26, 0-7 x 0-51 = 4-33, 0-7 x 0-52 = 4-40, 0-7 x 0-53 = 4-47, 0-7 x 0-54 = 4-54, 0-7 x 0-55 = 4-61, 0-7 x 0-56 = 4-68, 0-7 x 0-57 = 4-75, 0-7 x 0-58 = 5-1, 0-7 x 0-59 = 5-8, 0-7 x 0-60 = 5-15, 0-7 x 0-61 = 5-22, 0-7 x 0-62 = 5-29, 0-7 x 0-63 = 5-36, 0-7 x 0-64 = 5-43, 0-7 x 0-65 = 5-50, 0-7 x 0-66 = 5-57, 0-7 x 0-67 = 5-64, 0-7 x 0-68 = 5-71, 0-7 x 0-69 = 5-78, 0-7 x 0-70 = 6-4, 0-7 x 0-71 = 6-11, 0-7 x 0-72 = 6-18, 0-7 x 0-73 = 6-25, 0-7 x 0-74 = 6-32, 0-7 x 0-75 = 6-39, 0-7 x 0-76 = 6-46, 0-7 x 0-77 = 6-53, 0-7 x 0-78 = 6-60, 0-7 x 0-79 = 6-67, 0-7 x 0-80 = 6-74, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 0-16, 0-8 x 0-3 = 0-24, 0-8 x 0-4 = 0-32, 0-8 x 0-5 = 0-40, 0-8 x 0-6 = 0-48, 0-8 x 0-7 = 0-56, 0-8 x 0-8 = 0-64, 0-8 x 0-9 = 0-72, 0-8 x 0-10 = 0-80, 0-8 x 0-11 = 1-7, 0-8 x 0-12 = 1-15, 0-8 x 0-13 = 1-23, 0-8 x 0-14 = 1-31, 0-8 x 0-15 = 1-39, 0-8 x 0-16 = 1-47, 0-8 x 0-17 = 1-55, 0-8 x 0-18 = 1-63, 0-8 x 0-19 = 1-71, 0-8 x 0-20 = 1-79, 0-8 x 0-21 = 2-6, 0-8 x 0-22 = 2-14, 0-8 x 0-23 = 2-22, 0-8 x 0-24 = 2-30, 0-8 x 0-25 = 2-38, 0-8 x 0-26 = 2-46, 0-8 x 0-27 = 2-54, 0-8 x 0-28 = 2-62, 0-8 x 0-29 = 2-70, 0-8 x 0-30 = 2-78, 0-8 x 0-31 = 3-5, 0-8 x 0-32 = 3-13, 0-8 x 0-33 = 3-21, 0-8 x 0-34 = 3-29, 0-8 x 0-35 = 3-37, 0-8 x 0-36 = 3-45, 0-8 x 0-37 = 3-53, 0-8 x 0-38 = 3-61, 0-8 x 0-39 = 3-69, 0-8 x 0-40 = 3-77, 0-8 x 0-41 = 4-4, 0-8 x 0-42 = 4-12, 0-8 x 0-43 = 4-20, 0-8 x 0-44 = 4-28, 0-8 x 0-45 = 4-36, 0-8 x 0-46 = 4-44, 0-8 x 0-47 = 4-52, 0-8 x 0-48 = 4-60, 0-8 x 0-49 = 4-68, 0-8 x 0-50 = 4-76, 0-8 x 0-51 = 5-3, 0-8 x 0-52 = 5-11, 0-8 x 0-53 = 5-19, 0-8 x 0-54 = 5-27, 0-8 x 0-55 = 5-35, 0-8 x 0-56 = 5-43, 0-8 x 0-57 = 5-51, 0-8 x 0-58 = 5-59, 0-8 x 0-59 = 5-67, 0-8 x 0-60 = 5-75, 0-8 x 0-61 = 6-2, 0-8 x 0-62 = 6-10, 0-8 x 0-63 = 6-18, 0-8 x 0-64 = 6-26, 0-8 x 0-65 = 6-34, 0-8 x 0-66 = 6-42, 0-8 x 0-67 = 6-50, 0-8 x 0-68 = 6-58, 0-8 x 0-69 = 6-66, 0-8 x 0-70 = 6-74, 0-8 x 0-71 = 7-1, 0-8 x 0-72 = 7-9, 0-8 x 0-73 = 7-17, 0-8 x 0-74 = 7-25, 0-8 x 0-75 = 7-33, 0-8 x 0-76 = 7-41, 0-8 x 0-77 = 7-49, 0-8 x 0-78 = 7-57, 0-8 x 0-79 = 7-65, 0-8 x 0-80 = 7-73, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 0-18, 0-9 x 0-3 = 0-27, 0-9 x 0-4 = 0-36, 0-9 x 0-5 = 0-45, 0-9 x 0-6 = 0-54, 0-9 x 0-7 = 0-63, 0-9 x 0-8 = 0-72, 0-9 x 0-9 = 1-0, 0-9 x 0-10 = 1-9, 0-9 x 0-11 = 1-18, 0-9 x 0-12 = 1-27, 0-9 x 0-13 = 1-36, 0-9 x 0-14 = 1-45, 0-9 x 0-15 = 1-54, 0-9 x 0-16 = 1-63, 0-9 x 0-17 = 1-72, 0-9 x 0-18 = 2-0, 0-9 x 0-19 = 2-9, 0-9 x 0-20 = 2-18, 0-9 x 0-21 = 2-27, 0-9 x 0-22 = 2-36, 0-9 x 0-23 = 2-45, 0-9 x 0-24 = 2-54, 0-9 x 0-25 = 2-63, 0-9 x 0-26 = 2-72, 0-9 x 0-27 = 3-0, 0-9 x 0-28 = 3-9, 0-9 x 0-29 = 3-18, 0-9 x 0-30 = 3-27, 0-9 x 0-31 = 3-36, 0-9 x 0-32 = 3-45, 0-9 x 0-33 = 3-54, 0-9 x 0-34 = 3-63, 0-9 x 0-35 = 3-72, 0-9 x 0-36 = 4-0, 0-9 x 0-37 = 4-9, 0-9 x 0-38 = 4-18, 0-9 x 0-39 = 4-27, 0-9 x 0-40 = 4-36, 0-9 x 0-41 = 4-45, 0-9 x 0-42 = 4-54, 0-9 x 0-43 = 4-63, 0-9 x 0-44 = 4-72, 0-9 x 0-45 = 5-0, 0-9 x 0-46 = 5-9, 0-9 x 0-47 = 5-18, 0-9 x 0-48 = 5-27, 0-9 x 0-49 = 5-36, 0-9 x 0-50 = 5-45, 0-9 x 0-51 = 5-54, 0-9 x 0-52 = 5-63, 0-9 x 0-53 = 5-72, 0-9 x 0-54 = 6-0, 0-9 x 0-55 = 6-9, 0-9 x 0-56 = 6-18, 0-9 x 0-57 = 6-27, 0-9 x 0-58 = 6-36, 0-9 x 0-59 = 6-45, 0-9 x 0-60 = 6-54, 0-9 x 0-61 = 6-63, 0-9 x 0-62 = 6-72, 0-9 x 0-63 = 7-0, 0-9 x 0-64 = 7-9, 0-9 x 0-65 = 7-18, 0-9 x 0-66 = 7-27, 0-9 x 0-67 = 7-36, 0-9 x 0-68 = 7-45, 0-9 x 0-69 = 7-54, 0-9 x 0-70 = 7-63, 0-9 x 0-71 = 7-72, 0-9 x 0-72 = 8-0, 0-9 x 0-73 = 8-9, 0-9 x 0-74 = 8-18, 0-9 x 0-75 = 8-27, 0-9 x 0-76 = 8-36, 0-9 x 0-77 = 8-45, 0-9 x 0-78 = 8-54, 0-9 x 0-79 = 8-63, 0-9 x 0-80 = 8-72, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 0-20, 0-10 x 0-3 = 0-30, 0-10 x 0-4 = 0-40, 0-10 x 0-5 = 0-50, 0-10 x 0-6 = 0-60, 0-10 x 0-7 = 0-70, 0-10 x 0-8 = 0-80, 0-10 x 0-9 = 1-9, 0-10 x 0-10 = 1-19, 0-10 x 0-11 = 1-29, 0-10 x 0-12 = 1-39, 0-10 x 0-13 = 1-49, 0-10 x 0-14 = 1-59, 0-10 x 0-15 = 1-69, 0-10 x 0-16 = 1-79, 0-10 x 0-17 = 2-8, 0-10 x 0-18 = 2-18, 0-10 x 0-19 = 2-28, 0-10 x 0-20 = 2-38, 0-10 x 0-21 = 2-48, 0-10 x 0-22 = 2-58, 0-10 x 0-23 = 2-68, 0-10 x 0-24 = 2-78, 0-10 x 0-25 = 3-7, 0-10 x 0-26 = 3-17, 0-10 x 0-27 = 3-27, 0-10 x 0-28 = 3-37, 0-10 x 0-29 = 3-47, 0-10 x 0-30 = 3-57, 0-10 x 0-31 = 3-67, 0-10 x 0-32 = 3-77, 0-10 x 0-33 = 4-6, 0-10 x 0-34 = 4-16, 0-10 x 0-35 = 4-26, 0-10 x 0-36 = 4-36, 0-10 x 0-37 = 4-46, 0-10 x 0-38 = 4-56, 0-10 x 0-39 = 4-66, 0-10 x 0-40 = 4-76, 0-10 x 0-41 = 5-5, 0-10 x 0-42 = 5-15, 0-10 x 0-43 = 5-25, 0-10 x 0-44 = 5-35, 0-10 x 0-45 = 5-45, 0-10 x 0-46 = 5-55, 0-10 x 0-47 = 5-65, 0-10 x 0-48 = 5-75, 0-10 x 0-49 = 6-4, 0-10 x 0-50 = 6-14, 0-10 x 0-51 = 6-24, 0-10 x 0-52 = 6-34, 0-10 x 0-53 = 6-44, 0-10 x 0-54 = 6-54, 0-10 x 0-55 = 6-64, 0-10 x 0-56 = 6-74, 0-10 x 0-57 = 7-3, 0-10 x 0-58 = 7-13, 0-10 x 0-59 = 7-23, 0-10 x 0-60 = 7-33, 0-10 x 0-61 = 7-43, 0-10 x 0-62 = 7-53, 0-10 x 0-63 = 7-63, 0-10 x 0-64 = 7-73, 0-10 x 0-65 = 8-2, 0-10 x 0-66 = 8-12, 0-10 x 0-67 = 8-22, 0-10 x 0-68 = 8-32, 0-10 x 0-69 = 8-42, 0-10 x 0-70 = 8-52, 0-10 x 0-71 = 8-62, 0-10 x 0-72 = 8-72, 0-10 x 0-73 = 9-1, 0-10 x 0-74 = 9-11, 0-10 x 0-75 = 9-21, 0-10 x 0-76 = 9-31, 0-10 x 0-77 = 9-41, 0-10 x 0-78 = 9-51, 0-10 x 0-79 = 9-61, 0-10 x 0-80 = 9-71, 
