0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 0-1 x 0-11 = 0-11, 0-1 x 0-12 = 0-12, 0-1 x 0-13 = 0-13, 0-1 x 0-14 = 0-14, 0-1 x 0-15 = 0-15, 0-1 x 0-16 = 0-16, 0-1 x 0-17 = 0-17, 0-1 x 0-18 = 0-18, 0-1 x 0-19 = 0-19, 0-1 x 0-20 = 0-20, 0-1 x 0-21 = 0-21, 0-1 x 0-22 = 0-22, 0-1 x 0-23 = 0-23, 0-1 x 0-24 = 0-24, 0-1 x 0-25 = 0-25, 0-1 x 0-26 = 0-26, 0-1 x 0-27 = 0-27, 0-1 x 0-28 = 0-28, 0-1 x 0-29 = 0-29, 0-1 x 0-30 = 0-30, 0-1 x 0-31 = 0-31, 0-1 x 0-32 = 0-32, 0-1 x 0-33 = 0-33, 0-1 x 0-34 = 0-34, 0-1 x 0-35 = 0-35, 0-1 x 0-36 = 0-36, 0-1 x 0-37 = 0-37, 0-1 x 0-38 = 0-38, 0-1 x 0-39 = 0-39, 0-1 x 0-40 = 0-40, 0-1 x 0-41 = 0-41, 0-1 x 0-42 = 0-42, 0-1 x 0-43 = 0-43, 0-1 x 0-44 = 0-44, 0-1 x 0-45 = 0-45, 0-1 x 0-46 = 0-46, 0-1 x 0-47 = 0-47, 0-1 x 0-48 = 0-48, 0-1 x 0-49 = 0-49, 0-1 x 0-50 = 0-50, 0-1 x 0-51 = 0-51, 0-1 x 0-52 = 0-52, 0-1 x 0-53 = 0-53, 0-1 x 0-54 = 0-54, 0-1 x 0-55 = 0-55, 0-1 x 0-56 = 0-56, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 0-12, 0-2 x 0-7 = 0-14, 0-2 x 0-8 = 0-16, 0-2 x 0-9 = 0-18, 0-2 x 0-10 = 0-20, 0-2 x 0-11 = 0-22, 0-2 x 0-12 = 0-24, 0-2 x 0-13 = 0-26, 0-2 x 0-14 = 0-28, 0-2 x 0-15 = 0-30, 0-2 x 0-16 = 0-32, 0-2 x 0-17 = 0-34, 0-2 x 0-18 = 0-36, 0-2 x 0-19 = 0-38, 0-2 x 0-20 = 0-40, 0-2 x 0-21 = 0-42, 0-2 x 0-22 = 0-44, 0-2 x 0-23 = 0-46, 0-2 x 0-24 = 0-48, 0-2 x 0-25 = 0-50, 0-2 x 0-26 = 0-52, 0-2 x 0-27 = 0-54, 0-2 x 0-28 = 0-56, 0-2 x 0-29 = 1-1, 0-2 x 0-30 = 1-3, 0-2 x 0-31 = 1-5, 0-2 x 0-32 = 1-7, 0-2 x 0-33 = 1-9, 0-2 x 0-34 = 1-11, 0-2 x 0-35 = 1-13, 0-2 x 0-36 = 1-15, 0-2 x 0-37 = 1-17, 0-2 x 0-38 = 1-19, 0-2 x 0-39 = 1-21, 0-2 x 0-40 = 1-23, 0-2 x 0-41 = 1-25, 0-2 x 0-42 = 1-27, 0-2 x 0-43 = 1-29, 0-2 x 0-44 = 1-31, 0-2 x 0-45 = 1-33, 0-2 x 0-46 = 1-35, 0-2 x 0-47 = 1-37, 0-2 x 0-48 = 1-39, 0-2 x 0-49 = 1-41, 0-2 x 0-50 = 1-43, 0-2 x 0-51 = 1-45, 0-2 x 0-52 = 1-47, 0-2 x 0-53 = 1-49, 0-2 x 0-54 = 1-51, 0-2 x 0-55 = 1-53, 0-2 x 0-56 = 1-55, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 0-12, 0-3 x 0-5 = 0-15, 0-3 x 0-6 = 0-18, 0-3 x 0-7 = 0-21, 0-3 x 0-8 = 0-24, 0-3 x 0-9 = 0-27, 0-3 x 0-10 = 0-30, 0-3 x 0-11 = 0-33, 0-3 x 0-12 = 0-36, 0-3 x 0-13 = 0-39, 0-3 x 0-14 = 0-42, 0-3 x 0-15 = 0-45, 0-3 x 0-16 = 0-48, 0-3 x 0-17 = 0-51, 0-3 x 0-18 = 0-54, 0-3 x 0-19 = 1-0, 0-3 x 0-20 = 1-3, 0-3 x 0-21 = 1-6, 0-3 x 0-22 = 1-9, 0-3 x 0-23 = 1-12, 0-3 x 0-24 = 1-15, 0-3 x 0-25 = 1-18, 0-3 x 0-26 = 1-21, 0-3 x 0-27 = 1-24, 0-3 x 0-28 = 1-27, 0-3 x 0-29 = 1-30, 0-3 x 0-30 = 1-33, 0-3 x 0-31 = 1-36, 0-3 x 0-32 = 1-39, 0-3 x 0-33 = 1-42, 0-3 x 0-34 = 1-45, 0-3 x 0-35 = 1-48, 0-3 x 0-36 = 1-51, 0-3 x 0-37 = 1-54, 0-3 x 0-38 = 2-0, 0-3 x 0-39 = 2-3, 0-3 x 0-40 = 2-6, 0-3 x 0-41 = 2-9, 0-3 x 0-42 = 2-12, 0-3 x 0-43 = 2-15, 0-3 x 0-44 = 2-18, 0-3 x 0-45 = 2-21, 0-3 x 0-46 = 2-24, 0-3 x 0-47 = 2-27, 0-3 x 0-48 = 2-30, 0-3 x 0-49 = 2-33, 0-3 x 0-50 = 2-36, 0-3 x 0-51 = 2-39, 0-3 x 0-52 = 2-42, 0-3 x 0-53 = 2-45, 0-3 x 0-54 = 2-48, 0-3 x 0-55 = 2-51, 0-3 x 0-56 = 2-54, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 0-12, 0-4 x 0-4 = 0-16, 0-4 x 0-5 = 0-20, 0-4 x 0-6 = 0-24, 0-4 x 0-7 = 0-28, 0-4 x 0-8 = 0-32, 0-4 x 0-9 = 0-36, 0-4 x 0-10 = 0-40, 0-4 x 0-11 = 0-44, 0-4 x 0-12 = 0-48, 0-4 x 0-13 = 0-52, 0-4 x 0-14 = 0-56, 0-4 x 0-15 = 1-3, 0-4 x 0-16 = 1-7, 0-4 x 0-17 = 1-11, 0-4 x 0-18 = 1-15, 0-4 x 0-19 = 1-19, 0-4 x 0-20 = 1-23, 0-4 x 0-21 = 1-27, 0-4 x 0-22 = 1-31, 0-4 x 0-23 = 1-35, 0-4 x 0-24 = 1-39, 0-4 x 0-25 = 1-43, 0-4 x 0-26 = 1-47, 0-4 x 0-27 = 1-51, 0-4 x 0-28 = 1-55, 0-4 x 0-29 = 2-2, 0-4 x 0-30 = 2-6, 0-4 x 0-31 = 2-10, 0-4 x 0-32 = 2-14, 0-4 x 0-33 = 2-18, 0-4 x 0-34 = 2-22, 0-4 x 0-35 = 2-26, 0-4 x 0-36 = 2-30, 0-4 x 0-37 = 2-34, 0-4 x 0-38 = 2-38, 0-4 x 0-39 = 2-42, 0-4 x 0-40 = 2-46, 0-4 x 0-41 = 2-50, 0-4 x 0-42 = 2-54, 0-4 x 0-43 = 3-1, 0-4 x 0-44 = 3-5, 0-4 x 0-45 = 3-9, 0-4 x 0-46 = 3-13, 0-4 x 0-47 = 3-17, 0-4 x 0-48 = 3-21, 0-4 x 0-49 = 3-25, 0-4 x 0-50 = 3-29, 0-4 x 0-51 = 3-33, 0-4 x 0-52 = 3-37, 0-4 x 0-53 = 3-41, 0-4 x 0-54 = 3-45, 0-4 x 0-55 = 3-49, 0-4 x 0-56 = 3-53, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 0-15, 0-5 x 0-4 = 0-20, 0-5 x 0-5 = 0-25, 0-5 x 0-6 = 0-30, 0-5 x 0-7 = 0-35, 0-5 x 0-8 = 0-40, 0-5 x 0-9 = 0-45, 0-5 x 0-10 = 0-50, 0-5 x 0-11 = 0-55, 0-5 x 0-12 = 1-3, 0-5 x 0-13 = 1-8, 0-5 x 0-14 = 1-13, 0-5 x 0-15 = 1-18, 0-5 x 0-16 = 1-23, 0-5 x 0-17 = 1-28, 0-5 x 0-18 = 1-33, 0-5 x 0-19 = 1-38, 0-5 x 0-20 = 1-43, 0-5 x 0-21 = 1-48, 0-5 x 0-22 = 1-53, 0-5 x 0-23 = 2-1, 0-5 x 0-24 = 2-6, 0-5 x 0-25 = 2-11, 0-5 x 0-26 = 2-16, 0-5 x 0-27 = 2-21, 0-5 x 0-28 = 2-26, 0-5 x 0-29 = 2-31, 0-5 x 0-30 = 2-36, 0-5 x 0-31 = 2-41, 0-5 x 0-32 = 2-46, 0-5 x 0-33 = 2-51, 0-5 x 0-34 = 2-56, 0-5 x 0-35 = 3-4, 0-5 x 0-36 = 3-9, 0-5 x 0-37 = 3-14, 0-5 x 0-38 = 3-19, 0-5 x 0-39 = 3-24, 0-5 x 0-40 = 3-29, 0-5 x 0-41 = 3-34, 0-5 x 0-42 = 3-39, 0-5 x 0-43 = 3-44, 0-5 x 0-44 = 3-49, 0-5 x 0-45 = 3-54, 0-5 x 0-46 = 4-2, 0-5 x 0-47 = 4-7, 0-5 x 0-48 = 4-12, 0-5 x 0-49 = 4-17, 0-5 x 0-50 = 4-22, 0-5 x 0-51 = 4-27, 0-5 x 0-52 = 4-32, 0-5 x 0-53 = 4-37, 0-5 x 0-54 = 4-42, 0-5 x 0-55 = 4-47, 0-5 x 0-56 = 4-52, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 0-12, 0-6 x 0-3 = 0-18, 0-6 x 0-4 = 0-24, 0-6 x 0-5 = 0-30, 0-6 x 0-6 = 0-36, 0-6 x 0-7 = 0-42, 0-6 x 0-8 = 0-48, 0-6 x 0-9 = 0-54, 0-6 x 0-10 = 1-3, 0-6 x 0-11 = 1-9, 0-6 x 0-12 = 1-15, 0-6 x 0-13 = 1-21, 0-6 x 0-14 = 1-27, 0-6 x 0-15 = 1-33, 0-6 x 0-16 = 1-39, 0-6 x 0-17 = 1-45, 0-6 x 0-18 = 1-51, 0-6 x 0-19 = 2-0, 0-6 x 0-20 = 2-6, 0-6 x 0-21 = 2-12, 0-6 x 0-22 = 2-18, 0-6 x 0-23 = 2-24, 0-6 x 0-24 = 2-30, 0-6 x 0-25 = 2-36, 0-6 x 0-26 = 2-42, 0-6 x 0-27 = 2-48, 0-6 x 0-28 = 2-54, 0-6 x 0-29 = 3-3, 0-6 x 0-30 = 3-9, 0-6 x 0-31 = 3-15, 0-6 x 0-32 = 3-21, 0-6 x 0-33 = 3-27, 0-6 x 0-34 = 3-33, 0-6 x 0-35 = 3-39, 0-6 x 0-36 = 3-45, 0-6 x 0-37 = 3-51, 0-6 x 0-38 = 4-0, 0-6 x 0-39 = 4-6, 0-6 x 0-40 = 4-12, 0-6 x 0-41 = 4-18, 0-6 x 0-42 = 4-24, 0-6 x 0-43 = 4-30, 0-6 x 0-44 = 4-36, 0-6 x 0-45 = 4-42, 0-6 x 0-46 = 4-48, 0-6 x 0-47 = 4-54, 0-6 x 0-48 = 5-3, 0-6 x 0-49 = 5-9, 0-6 x 0-50 = 5-15, 0-6 x 0-51 = 5-21, 0-6 x 0-52 = 5-27, 0-6 x 0-53 = 5-33, 0-6 x 0-54 = 5-39, 0-6 x 0-55 = 5-45, 0-6 x 0-56 = 5-51, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 0-14, 0-7 x 0-3 = 0-21, 0-7 x 0-4 = 0-28, 0-7 x 0-5 = 0-35, 0-7 x 0-6 = 0-42, 0-7 x 0-7 = 0-49, 0-7 x 0-8 = 0-56, 0-7 x 0-9 = 1-6, 0-7 x 0-10 = 1-13, 0-7 x 0-11 = 1-20, 0-7 x 0-12 = 1-27, 0-7 x 0-13 = 1-34, 0-7 x 0-14 = 1-41, 0-7 x 0-15 = 1-48, 0-7 x 0-16 = 1-55, 0-7 x 0-17 = 2-5, 0-7 x 0-18 = 2-12, 0-7 x 0-19 = 2-19, 0-7 x 0-20 = 2-26, 0-7 x 0-21 = 2-33, 0-7 x 0-22 = 2-40, 0-7 x 0-23 = 2-47, 0-7 x 0-24 = 2-54, 0-7 x 0-25 = 3-4, 0-7 x 0-26 = 3-11, 0-7 x 0-27 = 3-18, 0-7 x 0-28 = 3-25, 0-7 x 0-29 = 3-32, 0-7 x 0-30 = 3-39, 0-7 x 0-31 = 3-46, 0-7 x 0-32 = 3-53, 0-7 x 0-33 = 4-3, 0-7 x 0-34 = 4-10, 0-7 x 0-35 = 4-17, 0-7 x 0-36 = 4-24, 0-7 x 0-37 = 4-31, 0-7 x 0-38 = 4-38, 0-7 x 0-39 = 4-45, 0-7 x 0-40 = 4-52, 0-7 x 0-41 = 5-2, 0-7 x 0-42 = 5-9, 0-7 x 0-43 = 5-16, 0-7 x 0-44 = 5-23, 0-7 x 0-45 = 5-30, 0-7 x 0-46 = 5-37, 0-7 x 0-47 = 5-44, 0-7 x 0-48 = 5-51, 0-7 x 0-49 = 6-1, 0-7 x 0-50 = 6-8, 0-7 x 0-51 = 6-15, 0-7 x 0-52 = 6-22, 0-7 x 0-53 = 6-29, 0-7 x 0-54 = 6-36, 0-7 x 0-55 = 6-43, 0-7 x 0-56 = 6-50, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 0-16, 0-8 x 0-3 = 0-24, 0-8 x 0-4 = 0-32, 0-8 x 0-5 = 0-40, 0-8 x 0-6 = 0-48, 0-8 x 0-7 = 0-56, 0-8 x 0-8 = 1-7, 0-8 x 0-9 = 1-15, 0-8 x 0-10 = 1-23, 0-8 x 0-11 = 1-31, 0-8 x 0-12 = 1-39, 0-8 x 0-13 = 1-47, 0-8 x 0-14 = 1-55, 0-8 x 0-15 = 2-6, 0-8 x 0-16 = 2-14, 0-8 x 0-17 = 2-22, 0-8 x 0-18 = 2-30, 0-8 x 0-19 = 2-38, 0-8 x 0-20 = 2-46, 0-8 x 0-21 = 2-54, 0-8 x 0-22 = 3-5, 0-8 x 0-23 = 3-13, 0-8 x 0-24 = 3-21, 0-8 x 0-25 = 3-29, 0-8 x 0-26 = 3-37, 0-8 x 0-27 = 3-45, 0-8 x 0-28 = 3-53, 0-8 x 0-29 = 4-4, 0-8 x 0-30 = 4-12, 0-8 x 0-31 = 4-20, 0-8 x 0-32 = 4-28, 0-8 x 0-33 = 4-36, 0-8 x 0-34 = 4-44, 0-8 x 0-35 = 4-52, 0-8 x 0-36 = 5-3, 0-8 x 0-37 = 5-11, 0-8 x 0-38 = 5-19, 0-8 x 0-39 = 5-27, 0-8 x 0-40 = 5-35, 0-8 x 0-41 = 5-43, 0-8 x 0-42 = 5-51, 0-8 x 0-43 = 6-2, 0-8 x 0-44 = 6-10, 0-8 x 0-45 = 6-18, 0-8 x 0-46 = 6-26, 0-8 x 0-47 = 6-34, 0-8 x 0-48 = 6-42, 0-8 x 0-49 = 6-50, 0-8 x 0-50 = 7-1, 0-8 x 0-51 = 7-9, 0-8 x 0-52 = 7-17, 0-8 x 0-53 = 7-25, 0-8 x 0-54 = 7-33, 0-8 x 0-55 = 7-41, 0-8 x 0-56 = 7-49, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 0-18, 0-9 x 0-3 = 0-27, 0-9 x 0-4 = 0-36, 0-9 x 0-5 = 0-45, 0-9 x 0-6 = 0-54, 0-9 x 0-7 = 1-6, 0-9 x 0-8 = 1-15, 0-9 x 0-9 = 1-24, 0-9 x 0-10 = 1-33, 0-9 x 0-11 = 1-42, 0-9 x 0-12 = 1-51, 0-9 x 0-13 = 2-3, 0-9 x 0-14 = 2-12, 0-9 x 0-15 = 2-21, 0-9 x 0-16 = 2-30, 0-9 x 0-17 = 2-39, 0-9 x 0-18 = 2-48, 0-9 x 0-19 = 3-0, 0-9 x 0-20 = 3-9, 0-9 x 0-21 = 3-18, 0-9 x 0-22 = 3-27, 0-9 x 0-23 = 3-36, 0-9 x 0-24 = 3-45, 0-9 x 0-25 = 3-54, 0-9 x 0-26 = 4-6, 0-9 x 0-27 = 4-15, 0-9 x 0-28 = 4-24, 0-9 x 0-29 = 4-33, 0-9 x 0-30 = 4-42, 0-9 x 0-31 = 4-51, 0-9 x 0-32 = 5-3, 0-9 x 0-33 = 5-12, 0-9 x 0-34 = 5-21, 0-9 x 0-35 = 5-30, 0-9 x 0-36 = 5-39, 0-9 x 0-37 = 5-48, 0-9 x 0-38 = 6-0, 0-9 x 0-39 = 6-9, 0-9 x 0-40 = 6-18, 0-9 x 0-41 = 6-27, 0-9 x 0-42 = 6-36, 0-9 x 0-43 = 6-45, 0-9 x 0-44 = 6-54, 0-9 x 0-45 = 7-6, 0-9 x 0-46 = 7-15, 0-9 x 0-47 = 7-24, 0-9 x 0-48 = 7-33, 0-9 x 0-49 = 7-42, 0-9 x 0-50 = 7-51, 0-9 x 0-51 = 8-3, 0-9 x 0-52 = 8-12, 0-9 x 0-53 = 8-21, 0-9 x 0-54 = 8-30, 0-9 x 0-55 = 8-39, 0-9 x 0-56 = 8-48, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 0-20, 0-10 x 0-3 = 0-30, 0-10 x 0-4 = 0-40, 0-10 x 0-5 = 0-50, 0-10 x 0-6 = 1-3, 0-10 x 0-7 = 1-13, 0-10 x 0-8 = 1-23, 0-10 x 0-9 = 1-33, 0-10 x 0-10 = 1-43, 0-10 x 0-11 = 1-53, 0-10 x 0-12 = 2-6, 0-10 x 0-13 = 2-16, 0-10 x 0-14 = 2-26, 0-10 x 0-15 = 2-36, 0-10 x 0-16 = 2-46, 0-10 x 0-17 = 2-56, 0-10 x 0-18 = 3-9, 0-10 x 0-19 = 3-19, 0-10 x 0-20 = 3-29, 0-10 x 0-21 = 3-39, 0-10 x 0-22 = 3-49, 0-10 x 0-23 = 4-2, 0-10 x 0-24 = 4-12, 0-10 x 0-25 = 4-22, 0-10 x 0-26 = 4-32, 0-10 x 0-27 = 4-42, 0-10 x 0-28 = 4-52, 0-10 x 0-29 = 5-5, 0-10 x 0-30 = 5-15, 0-10 x 0-31 = 5-25, 0-10 x 0-32 = 5-35, 0-10 x 0-33 = 5-45, 0-10 x 0-34 = 5-55, 0-10 x 0-35 = 6-8, 0-10 x 0-36 = 6-18, 0-10 x 0-37 = 6-28, 0-10 x 0-38 = 6-38, 0-10 x 0-39 = 6-48, 0-10 x 0-40 = 7-1, 0-10 x 0-41 = 7-11, 0-10 x 0-42 = 7-21, 0-10 x 0-43 = 7-31, 0-10 x 0-44 = 7-41, 0-10 x 0-45 = 7-51, 0-10 x 0-46 = 8-4, 0-10 x 0-47 = 8-14, 0-10 x 0-48 = 8-24, 0-10 x 0-49 = 8-34, 0-10 x 0-50 = 8-44, 0-10 x 0-51 = 8-54, 0-10 x 0-52 = 9-7, 0-10 x 0-53 = 9-17, 0-10 x 0-54 = 9-27, 0-10 x 0-55 = 9-37, 0-10 x 0-56 = 9-47, 
