0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 0-1 x 0-11 = 0-11, 0-1 x 0-12 = 0-12, 0-1 x 0-13 = 0-13, 0-1 x 0-14 = 0-14, 0-1 x 0-15 = 0-15, 0-1 x 0-16 = 0-16, 0-1 x 0-17 = 0-17, 0-1 x 0-18 = 0-18, 0-1 x 0-19 = 0-19, 0-1 x 0-20 = 0-20, 0-1 x 0-21 = 0-21, 0-1 x 0-22 = 0-22, 0-1 x 0-23 = 0-23, 0-1 x 0-24 = 0-24, 0-1 x 0-25 = 0-25, 0-1 x 0-26 = 0-26, 0-1 x 0-27 = 0-27, 0-1 x 0-28 = 0-28, 0-1 x 0-29 = 0-29, 0-1 x 0-30 = 0-30, 0-1 x 0-31 = 0-31, 0-1 x 0-32 = 0-32, 0-1 x 0-33 = 0-33, 0-1 x 0-34 = 0-34, 0-1 x 0-35 = 0-35, 0-1 x 0-36 = 0-36, 0-1 x 0-37 = 0-37, 0-1 x 0-38 = 0-38, 0-1 x 0-39 = 0-39, 0-1 x 0-40 = 0-40, 0-1 x 0-41 = 0-41, 0-1 x 0-42 = 0-42, 0-1 x 0-43 = 0-43, 0-1 x 0-44 = 0-44, 0-1 x 0-45 = 0-45, 0-1 x 0-46 = 0-46, 0-1 x 0-47 = 0-47, 0-1 x 0-48 = 0-48, 0-1 x 0-49 = 0-49, 0-1 x 0-50 = 0-50, 0-1 x 0-51 = 0-51, 0-1 x 0-52 = 0-52, 0-1 x 0-53 = 0-53, 0-1 x 0-54 = 0-54, 0-1 x 0-55 = 0-55, 0-1 x 0-56 = 0-56, 0-1 x 0-57 = 0-57, 0-1 x 0-58 = 0-58, 0-1 x 0-59 = 0-59, 0-1 x 0-60 = 0-60, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 0-12, 0-2 x 0-7 = 0-14, 0-2 x 0-8 = 0-16, 0-2 x 0-9 = 0-18, 0-2 x 0-10 = 0-20, 0-2 x 0-11 = 0-22, 0-2 x 0-12 = 0-24, 0-2 x 0-13 = 0-26, 0-2 x 0-14 = 0-28, 0-2 x 0-15 = 0-30, 0-2 x 0-16 = 0-32, 0-2 x 0-17 = 0-34, 0-2 x 0-18 = 0-36, 0-2 x 0-19 = 0-38, 0-2 x 0-20 = 0-40, 0-2 x 0-21 = 0-42, 0-2 x 0-22 = 0-44, 0-2 x 0-23 = 0-46, 0-2 x 0-24 = 0-48, 0-2 x 0-25 = 0-50, 0-2 x 0-26 = 0-52, 0-2 x 0-27 = 0-54, 0-2 x 0-28 = 0-56, 0-2 x 0-29 = 0-58, 0-2 x 0-30 = 0-60, 0-2 x 0-31 = 1-1, 0-2 x 0-32 = 1-3, 0-2 x 0-33 = 1-5, 0-2 x 0-34 = 1-7, 0-2 x 0-35 = 1-9, 0-2 x 0-36 = 1-11, 0-2 x 0-37 = 1-13, 0-2 x 0-38 = 1-15, 0-2 x 0-39 = 1-17, 0-2 x 0-40 = 1-19, 0-2 x 0-41 = 1-21, 0-2 x 0-42 = 1-23, 0-2 x 0-43 = 1-25, 0-2 x 0-44 = 1-27, 0-2 x 0-45 = 1-29, 0-2 x 0-46 = 1-31, 0-2 x 0-47 = 1-33, 0-2 x 0-48 = 1-35, 0-2 x 0-49 = 1-37, 0-2 x 0-50 = 1-39, 0-2 x 0-51 = 1-41, 0-2 x 0-52 = 1-43, 0-2 x 0-53 = 1-45, 0-2 x 0-54 = 1-47, 0-2 x 0-55 = 1-49, 0-2 x 0-56 = 1-51, 0-2 x 0-57 = 1-53, 0-2 x 0-58 = 1-55, 0-2 x 0-59 = 1-57, 0-2 x 0-60 = 1-59, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 0-12, 0-3 x 0-5 = 0-15, 0-3 x 0-6 = 0-18, 0-3 x 0-7 = 0-21, 0-3 x 0-8 = 0-24, 0-3 x 0-9 = 0-27, 0-3 x 0-10 = 0-30, 0-3 x 0-11 = 0-33, 0-3 x 0-12 = 0-36, 0-3 x 0-13 = 0-39, 0-3 x 0-14 = 0-42, 0-3 x 0-15 = 0-45, 0-3 x 0-16 = 0-48, 0-3 x 0-17 = 0-51, 0-3 x 0-18 = 0-54, 0-3 x 0-19 = 0-57, 0-3 x 0-20 = 0-60, 0-3 x 0-21 = 1-2, 0-3 x 0-22 = 1-5, 0-3 x 0-23 = 1-8, 0-3 x 0-24 = 1-11, 0-3 x 0-25 = 1-14, 0-3 x 0-26 = 1-17, 0-3 x 0-27 = 1-20, 0-3 x 0-28 = 1-23, 0-3 x 0-29 = 1-26, 0-3 x 0-30 = 1-29, 0-3 x 0-31 = 1-32, 0-3 x 0-32 = 1-35, 0-3 x 0-33 = 1-38, 0-3 x 0-34 = 1-41, 0-3 x 0-35 = 1-44, 0-3 x 0-36 = 1-47, 0-3 x 0-37 = 1-50, 0-3 x 0-38 = 1-53, 0-3 x 0-39 = 1-56, 0-3 x 0-40 = 1-59, 0-3 x 0-41 = 2-1, 0-3 x 0-42 = 2-4, 0-3 x 0-43 = 2-7, 0-3 x 0-44 = 2-10, 0-3 x 0-45 = 2-13, 0-3 x 0-46 = 2-16, 0-3 x 0-47 = 2-19, 0-3 x 0-48 = 2-22, 0-3 x 0-49 = 2-25, 0-3 x 0-50 = 2-28, 0-3 x 0-51 = 2-31, 0-3 x 0-52 = 2-34, 0-3 x 0-53 = 2-37, 0-3 x 0-54 = 2-40, 0-3 x 0-55 = 2-43, 0-3 x 0-56 = 2-46, 0-3 x 0-57 = 2-49, 0-3 x 0-58 = 2-52, 0-3 x 0-59 = 2-55, 0-3 x 0-60 = 2-58, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 0-12, 0-4 x 0-4 = 0-16, 0-4 x 0-5 = 0-20, 0-4 x 0-6 = 0-24, 0-4 x 0-7 = 0-28, 0-4 x 0-8 = 0-32, 0-4 x 0-9 = 0-36, 0-4 x 0-10 = 0-40, 0-4 x 0-11 = 0-44, 0-4 x 0-12 = 0-48, 0-4 x 0-13 = 0-52, 0-4 x 0-14 = 0-56, 0-4 x 0-15 = 0-60, 0-4 x 0-16 = 1-3, 0-4 x 0-17 = 1-7, 0-4 x 0-18 = 1-11, 0-4 x 0-19 = 1-15, 0-4 x 0-20 = 1-19, 0-4 x 0-21 = 1-23, 0-4 x 0-22 = 1-27, 0-4 x 0-23 = 1-31, 0-4 x 0-24 = 1-35, 0-4 x 0-25 = 1-39, 0-4 x 0-26 = 1-43, 0-4 x 0-27 = 1-47, 0-4 x 0-28 = 1-51, 0-4 x 0-29 = 1-55, 0-4 x 0-30 = 1-59, 0-4 x 0-31 = 2-2, 0-4 x 0-32 = 2-6, 0-4 x 0-33 = 2-10, 0-4 x 0-34 = 2-14, 0-4 x 0-35 = 2-18, 0-4 x 0-36 = 2-22, 0-4 x 0-37 = 2-26, 0-4 x 0-38 = 2-30, 0-4 x 0-39 = 2-34, 0-4 x 0-40 = 2-38, 0-4 x 0-41 = 2-42, 0-4 x 0-42 = 2-46, 0-4 x 0-43 = 2-50, 0-4 x 0-44 = 2-54, 0-4 x 0-45 = 2-58, 0-4 x 0-46 = 3-1, 0-4 x 0-47 = 3-5, 0-4 x 0-48 = 3-9, 0-4 x 0-49 = 3-13, 0-4 x 0-50 = 3-17, 0-4 x 0-51 = 3-21, 0-4 x 0-52 = 3-25, 0-4 x 0-53 = 3-29, 0-4 x 0-54 = 3-33, 0-4 x 0-55 = 3-37, 0-4 x 0-56 = 3-41, 0-4 x 0-57 = 3-45, 0-4 x 0-58 = 3-49, 0-4 x 0-59 = 3-53, 0-4 x 0-60 = 3-57, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 0-15, 0-5 x 0-4 = 0-20, 0-5 x 0-5 = 0-25, 0-5 x 0-6 = 0-30, 0-5 x 0-7 = 0-35, 0-5 x 0-8 = 0-40, 0-5 x 0-9 = 0-45, 0-5 x 0-10 = 0-50, 0-5 x 0-11 = 0-55, 0-5 x 0-12 = 0-60, 0-5 x 0-13 = 1-4, 0-5 x 0-14 = 1-9, 0-5 x 0-15 = 1-14, 0-5 x 0-16 = 1-19, 0-5 x 0-17 = 1-24, 0-5 x 0-18 = 1-29, 0-5 x 0-19 = 1-34, 0-5 x 0-20 = 1-39, 0-5 x 0-21 = 1-44, 0-5 x 0-22 = 1-49, 0-5 x 0-23 = 1-54, 0-5 x 0-24 = 1-59, 0-5 x 0-25 = 2-3, 0-5 x 0-26 = 2-8, 0-5 x 0-27 = 2-13, 0-5 x 0-28 = 2-18, 0-5 x 0-29 = 2-23, 0-5 x 0-30 = 2-28, 0-5 x 0-31 = 2-33, 0-5 x 0-32 = 2-38, 0-5 x 0-33 = 2-43, 0-5 x 0-34 = 2-48, 0-5 x 0-35 = 2-53, 0-5 x 0-36 = 2-58, 0-5 x 0-37 = 3-2, 0-5 x 0-38 = 3-7, 0-5 x 0-39 = 3-12, 0-5 x 0-40 = 3-17, 0-5 x 0-41 = 3-22, 0-5 x 0-42 = 3-27, 0-5 x 0-43 = 3-32, 0-5 x 0-44 = 3-37, 0-5 x 0-45 = 3-42, 0-5 x 0-46 = 3-47, 0-5 x 0-47 = 3-52, 0-5 x 0-48 = 3-57, 0-5 x 0-49 = 4-1, 0-5 x 0-50 = 4-6, 0-5 x 0-51 = 4-11, 0-5 x 0-52 = 4-16, 0-5 x 0-53 = 4-21, 0-5 x 0-54 = 4-26, 0-5 x 0-55 = 4-31, 0-5 x 0-56 = 4-36, 0-5 x 0-57 = 4-41, 0-5 x 0-58 = 4-46, 0-5 x 0-59 = 4-51, 0-5 x 0-60 = 4-56, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 0-12, 0-6 x 0-3 = 0-18, 0-6 x 0-4 = 0-24, 0-6 x 0-5 = 0-30, 0-6 x 0-6 = 0-36, 0-6 x 0-7 = 0-42, 0-6 x 0-8 = 0-48, 0-6 x 0-9 = 0-54, 0-6 x 0-10 = 0-60, 0-6 x 0-11 = 1-5, 0-6 x 0-12 = 1-11, 0-6 x 0-13 = 1-17, 0-6 x 0-14 = 1-23, 0-6 x 0-15 = 1-29, 0-6 x 0-16 = 1-35, 0-6 x 0-17 = 1-41, 0-6 x 0-18 = 1-47, 0-6 x 0-19 = 1-53, 0-6 x 0-20 = 1-59, 0-6 x 0-21 = 2-4, 0-6 x 0-22 = 2-10, 0-6 x 0-23 = 2-16, 0-6 x 0-24 = 2-22, 0-6 x 0-25 = 2-28, 0-6 x 0-26 = 2-34, 0-6 x 0-27 = 2-40, 0-6 x 0-28 = 2-46, 0-6 x 0-29 = 2-52, 0-6 x 0-30 = 2-58, 0-6 x 0-31 = 3-3, 0-6 x 0-32 = 3-9, 0-6 x 0-33 = 3-15, 0-6 x 0-34 = 3-21, 0-6 x 0-35 = 3-27, 0-6 x 0-36 = 3-33, 0-6 x 0-37 = 3-39, 0-6 x 0-38 = 3-45, 0-6 x 0-39 = 3-51, 0-6 x 0-40 = 3-57, 0-6 x 0-41 = 4-2, 0-6 x 0-42 = 4-8, 0-6 x 0-43 = 4-14, 0-6 x 0-44 = 4-20, 0-6 x 0-45 = 4-26, 0-6 x 0-46 = 4-32, 0-6 x 0-47 = 4-38, 0-6 x 0-48 = 4-44, 0-6 x 0-49 = 4-50, 0-6 x 0-50 = 4-56, 0-6 x 0-51 = 5-1, 0-6 x 0-52 = 5-7, 0-6 x 0-53 = 5-13, 0-6 x 0-54 = 5-19, 0-6 x 0-55 = 5-25, 0-6 x 0-56 = 5-31, 0-6 x 0-57 = 5-37, 0-6 x 0-58 = 5-43, 0-6 x 0-59 = 5-49, 0-6 x 0-60 = 5-55, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 0-14, 0-7 x 0-3 = 0-21, 0-7 x 0-4 = 0-28, 0-7 x 0-5 = 0-35, 0-7 x 0-6 = 0-42, 0-7 x 0-7 = 0-49, 0-7 x 0-8 = 0-56, 0-7 x 0-9 = 1-2, 0-7 x 0-10 = 1-9, 0-7 x 0-11 = 1-16, 0-7 x 0-12 = 1-23, 0-7 x 0-13 = 1-30, 0-7 x 0-14 = 1-37, 0-7 x 0-15 = 1-44, 0-7 x 0-16 = 1-51, 0-7 x 0-17 = 1-58, 0-7 x 0-18 = 2-4, 0-7 x 0-19 = 2-11, 0-7 x 0-20 = 2-18, 0-7 x 0-21 = 2-25, 0-7 x 0-22 = 2-32, 0-7 x 0-23 = 2-39, 0-7 x 0-24 = 2-46, 0-7 x 0-25 = 2-53, 0-7 x 0-26 = 2-60, 0-7 x 0-27 = 3-6, 0-7 x 0-28 = 3-13, 0-7 x 0-29 = 3-20, 0-7 x 0-30 = 3-27, 0-7 x 0-31 = 3-34, 0-7 x 0-32 = 3-41, 0-7 x 0-33 = 3-48, 0-7 x 0-34 = 3-55, 0-7 x 0-35 = 4-1, 0-7 x 0-36 = 4-8, 0-7 x 0-37 = 4-15, 0-7 x 0-38 = 4-22, 0-7 x 0-39 = 4-29, 0-7 x 0-40 = 4-36, 0-7 x 0-41 = 4-43, 0-7 x 0-42 = 4-50, 0-7 x 0-43 = 4-57, 0-7 x 0-44 = 5-3, 0-7 x 0-45 = 5-10, 0-7 x 0-46 = 5-17, 0-7 x 0-47 = 5-24, 0-7 x 0-48 = 5-31, 0-7 x 0-49 = 5-38, 0-7 x 0-50 = 5-45, 0-7 x 0-51 = 5-52, 0-7 x 0-52 = 5-59, 0-7 x 0-53 = 6-5, 0-7 x 0-54 = 6-12, 0-7 x 0-55 = 6-19, 0-7 x 0-56 = 6-26, 0-7 x 0-57 = 6-33, 0-7 x 0-58 = 6-40, 0-7 x 0-59 = 6-47, 0-7 x 0-60 = 6-54, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 0-16, 0-8 x 0-3 = 0-24, 0-8 x 0-4 = 0-32, 0-8 x 0-5 = 0-40, 0-8 x 0-6 = 0-48, 0-8 x 0-7 = 0-56, 0-8 x 0-8 = 1-3, 0-8 x 0-9 = 1-11, 0-8 x 0-10 = 1-19, 0-8 x 0-11 = 1-27, 0-8 x 0-12 = 1-35, 0-8 x 0-13 = 1-43, 0-8 x 0-14 = 1-51, 0-8 x 0-15 = 1-59, 0-8 x 0-16 = 2-6, 0-8 x 0-17 = 2-14, 0-8 x 0-18 = 2-22, 0-8 x 0-19 = 2-30, 0-8 x 0-20 = 2-38, 0-8 x 0-21 = 2-46, 0-8 x 0-22 = 2-54, 0-8 x 0-23 = 3-1, 0-8 x 0-24 = 3-9, 0-8 x 0-25 = 3-17, 0-8 x 0-26 = 3-25, 0-8 x 0-27 = 3-33, 0-8 x 0-28 = 3-41, 0-8 x 0-29 = 3-49, 0-8 x 0-30 = 3-57, 0-8 x 0-31 = 4-4, 0-8 x 0-32 = 4-12, 0-8 x 0-33 = 4-20, 0-8 x 0-34 = 4-28, 0-8 x 0-35 = 4-36, 0-8 x 0-36 = 4-44, 0-8 x 0-37 = 4-52, 0-8 x 0-38 = 4-60, 0-8 x 0-39 = 5-7, 0-8 x 0-40 = 5-15, 0-8 x 0-41 = 5-23, 0-8 x 0-42 = 5-31, 0-8 x 0-43 = 5-39, 0-8 x 0-44 = 5-47, 0-8 x 0-45 = 5-55, 0-8 x 0-46 = 6-2, 0-8 x 0-47 = 6-10, 0-8 x 0-48 = 6-18, 0-8 x 0-49 = 6-26, 0-8 x 0-50 = 6-34, 0-8 x 0-51 = 6-42, 0-8 x 0-52 = 6-50, 0-8 x 0-53 = 6-58, 0-8 x 0-54 = 7-5, 0-8 x 0-55 = 7-13, 0-8 x 0-56 = 7-21, 0-8 x 0-57 = 7-29, 0-8 x 0-58 = 7-37, 0-8 x 0-59 = 7-45, 0-8 x 0-60 = 7-53, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 0-18, 0-9 x 0-3 = 0-27, 0-9 x 0-4 = 0-36, 0-9 x 0-5 = 0-45, 0-9 x 0-6 = 0-54, 0-9 x 0-7 = 1-2, 0-9 x 0-8 = 1-11, 0-9 x 0-9 = 1-20, 0-9 x 0-10 = 1-29, 0-9 x 0-11 = 1-38, 0-9 x 0-12 = 1-47, 0-9 x 0-13 = 1-56, 0-9 x 0-14 = 2-4, 0-9 x 0-15 = 2-13, 0-9 x 0-16 = 2-22, 0-9 x 0-17 = 2-31, 0-9 x 0-18 = 2-40, 0-9 x 0-19 = 2-49, 0-9 x 0-20 = 2-58, 0-9 x 0-21 = 3-6, 0-9 x 0-22 = 3-15, 0-9 x 0-23 = 3-24, 0-9 x 0-24 = 3-33, 0-9 x 0-25 = 3-42, 0-9 x 0-26 = 3-51, 0-9 x 0-27 = 3-60, 0-9 x 0-28 = 4-8, 0-9 x 0-29 = 4-17, 0-9 x 0-30 = 4-26, 0-9 x 0-31 = 4-35, 0-9 x 0-32 = 4-44, 0-9 x 0-33 = 4-53, 0-9 x 0-34 = 5-1, 0-9 x 0-35 = 5-10, 0-9 x 0-36 = 5-19, 0-9 x 0-37 = 5-28, 0-9 x 0-38 = 5-37, 0-9 x 0-39 = 5-46, 0-9 x 0-40 = 5-55, 0-9 x 0-41 = 6-3, 0-9 x 0-42 = 6-12, 0-9 x 0-43 = 6-21, 0-9 x 0-44 = 6-30, 0-9 x 0-45 = 6-39, 0-9 x 0-46 = 6-48, 0-9 x 0-47 = 6-57, 0-9 x 0-48 = 7-5, 0-9 x 0-49 = 7-14, 0-9 x 0-50 = 7-23, 0-9 x 0-51 = 7-32, 0-9 x 0-52 = 7-41, 0-9 x 0-53 = 7-50, 0-9 x 0-54 = 7-59, 0-9 x 0-55 = 8-7, 0-9 x 0-56 = 8-16, 0-9 x 0-57 = 8-25, 0-9 x 0-58 = 8-34, 0-9 x 0-59 = 8-43, 0-9 x 0-60 = 8-52, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 0-20, 0-10 x 0-3 = 0-30, 0-10 x 0-4 = 0-40, 0-10 x 0-5 = 0-50, 0-10 x 0-6 = 0-60, 0-10 x 0-7 = 1-9, 0-10 x 0-8 = 1-19, 0-10 x 0-9 = 1-29, 0-10 x 0-10 = 1-39, 0-10 x 0-11 = 1-49, 0-10 x 0-12 = 1-59, 0-10 x 0-13 = 2-8, 0-10 x 0-14 = 2-18, 0-10 x 0-15 = 2-28, 0-10 x 0-16 = 2-38, 0-10 x 0-17 = 2-48, 0-10 x 0-18 = 2-58, 0-10 x 0-19 = 3-7, 0-10 x 0-20 = 3-17, 0-10 x 0-21 = 3-27, 0-10 x 0-22 = 3-37, 0-10 x 0-23 = 3-47, 0-10 x 0-24 = 3-57, 0-10 x 0-25 = 4-6, 0-10 x 0-26 = 4-16, 0-10 x 0-27 = 4-26, 0-10 x 0-28 = 4-36, 0-10 x 0-29 = 4-46, 0-10 x 0-30 = 4-56, 0-10 x 0-31 = 5-5, 0-10 x 0-32 = 5-15, 0-10 x 0-33 = 5-25, 0-10 x 0-34 = 5-35, 0-10 x 0-35 = 5-45, 0-10 x 0-36 = 5-55, 0-10 x 0-37 = 6-4, 0-10 x 0-38 = 6-14, 0-10 x 0-39 = 6-24, 0-10 x 0-40 = 6-34, 0-10 x 0-41 = 6-44, 0-10 x 0-42 = 6-54, 0-10 x 0-43 = 7-3, 0-10 x 0-44 = 7-13, 0-10 x 0-45 = 7-23, 0-10 x 0-46 = 7-33, 0-10 x 0-47 = 7-43, 0-10 x 0-48 = 7-53, 0-10 x 0-49 = 8-2, 0-10 x 0-50 = 8-12, 0-10 x 0-51 = 8-22, 0-10 x 0-52 = 8-32, 0-10 x 0-53 = 8-42, 0-10 x 0-54 = 8-52, 0-10 x 0-55 = 9-1, 0-10 x 0-56 = 9-11, 0-10 x 0-57 = 9-21, 0-10 x 0-58 = 9-31, 0-10 x 0-59 = 9-41, 0-10 x 0-60 = 9-51, 
