1 x 1 = 0-1, 1 x 2 = 0-2, 1 x 3 = 0-3, 1 x 4 = 0-4, 1 x 5 = 0-5, 1 x 6 = 0-6, 1 x 7 = 0-7, 1 x 8 = 0-8, 1 x 9 = 0-9, 1 x 10 = 0-10, 1 x 11 = 0-11, 1 x 12 = 0-12, 1 x 13 = 0-13, 1 x 14 = 0-14, 1 x 15 = 0-15, 1 x 16 = 0-16, 1 x 17 = 0-17, 1 x 18 = 0-18, 1 x 19 = 0-19, 1 x 20 = 0-20, 1 x 21 = 0-21, 1 x 22 = 0-22, 1 x 23 = 0-23, 1 x 24 = 0-24, 1 x 25 = 0-25, 1 x 26 = 0-26, 1 x 27 = 0-27, 1 x 28 = 0-28, 1 x 29 = 0-29, 1 x 30 = 0-30, 1 x 31 = 0-31, 1 x 32 = 0-32, 1 x 33 = 0-33, 1 x 34 = 0-34, 1 x 35 = 0-35, 1 x 36 = 0-36, 1 x 37 = 0-37, 1 x 38 = 0-38, 
2 x 1 = 0-2, 2 x 2 = 0-4, 2 x 3 = 0-6, 2 x 4 = 0-8, 2 x 5 = 0-10, 2 x 6 = 0-12, 2 x 7 = 0-14, 2 x 8 = 0-16, 2 x 9 = 0-18, 2 x 10 = 0-20, 2 x 11 = 0-22, 2 x 12 = 0-24, 2 x 13 = 0-26, 2 x 14 = 0-28, 2 x 15 = 0-30, 2 x 16 = 0-32, 2 x 17 = 0-34, 2 x 18 = 0-36, 2 x 19 = 0-38, 2 x 20 = 1-1, 2 x 21 = 1-3, 2 x 22 = 1-5, 2 x 23 = 1-7, 2 x 24 = 1-9, 2 x 25 = 1-11, 2 x 26 = 1-13, 2 x 27 = 1-15, 2 x 28 = 1-17, 2 x 29 = 1-19, 2 x 30 = 1-21, 2 x 31 = 1-23, 2 x 32 = 1-25, 2 x 33 = 1-27, 2 x 34 = 1-29, 2 x 35 = 1-31, 2 x 36 = 1-33, 2 x 37 = 1-35, 2 x 38 = 1-37, 
3 x 1 = 0-3, 3 x 2 = 0-6, 3 x 3 = 0-9, 3 x 4 = 0-12, 3 x 5 = 0-15, 3 x 6 = 0-18, 3 x 7 = 0-21, 3 x 8 = 0-24, 3 x 9 = 0-27, 3 x 10 = 0-30, 3 x 11 = 0-33, 3 x 12 = 0-36, 3 x 13 = 1-0, 3 x 14 = 1-3, 3 x 15 = 1-6, 3 x 16 = 1-9, 3 x 17 = 1-12, 3 x 18 = 1-15, 3 x 19 = 1-18, 3 x 20 = 1-21, 3 x 21 = 1-24, 3 x 22 = 1-27, 3 x 23 = 1-30, 3 x 24 = 1-33, 3 x 25 = 1-36, 3 x 26 = 2-0, 3 x 27 = 2-3, 3 x 28 = 2-6, 3 x 29 = 2-9, 3 x 30 = 2-12, 3 x 31 = 2-15, 3 x 32 = 2-18, 3 x 33 = 2-21, 3 x 34 = 2-24, 3 x 35 = 2-27, 3 x 36 = 2-30, 3 x 37 = 2-33, 3 x 38 = 2-36, 
4 x 1 = 0-4, 4 x 2 = 0-8, 4 x 3 = 0-12, 4 x 4 = 0-16, 4 x 5 = 0-20, 4 x 6 = 0-24, 4 x 7 = 0-28, 4 x 8 = 0-32, 4 x 9 = 0-36, 4 x 10 = 1-1, 4 x 11 = 1-5, 4 x 12 = 1-9, 4 x 13 = 1-13, 4 x 14 = 1-17, 4 x 15 = 1-21, 4 x 16 = 1-25, 4 x 17 = 1-29, 4 x 18 = 1-33, 4 x 19 = 1-37, 4 x 20 = 2-2, 4 x 21 = 2-6, 4 x 22 = 2-10, 4 x 23 = 2-14, 4 x 24 = 2-18, 4 x 25 = 2-22, 4 x 26 = 2-26, 4 x 27 = 2-30, 4 x 28 = 2-34, 4 x 29 = 2-38, 4 x 30 = 3-3, 4 x 31 = 3-7, 4 x 32 = 3-11, 4 x 33 = 3-15, 4 x 34 = 3-19, 4 x 35 = 3-23, 4 x 36 = 3-27, 4 x 37 = 3-31, 4 x 38 = 3-35, 
5 x 1 = 0-5, 5 x 2 = 0-10, 5 x 3 = 0-15, 5 x 4 = 0-20, 5 x 5 = 0-25, 5 x 6 = 0-30, 5 x 7 = 0-35, 5 x 8 = 1-1, 5 x 9 = 1-6, 5 x 10 = 1-11, 5 x 11 = 1-16, 5 x 12 = 1-21, 5 x 13 = 1-26, 5 x 14 = 1-31, 5 x 15 = 1-36, 5 x 16 = 2-2, 5 x 17 = 2-7, 5 x 18 = 2-12, 5 x 19 = 2-17, 5 x 20 = 2-22, 5 x 21 = 2-27, 5 x 22 = 2-32, 5 x 23 = 2-37, 5 x 24 = 3-3, 5 x 25 = 3-8, 5 x 26 = 3-13, 5 x 27 = 3-18, 5 x 28 = 3-23, 5 x 29 = 3-28, 5 x 30 = 3-33, 5 x 31 = 3-38, 5 x 32 = 4-4, 5 x 33 = 4-9, 5 x 34 = 4-14, 5 x 35 = 4-19, 5 x 36 = 4-24, 5 x 37 = 4-29, 5 x 38 = 4-34, 
6 x 1 = 0-6, 6 x 2 = 0-12, 6 x 3 = 0-18, 6 x 4 = 0-24, 6 x 5 = 0-30, 6 x 6 = 0-36, 6 x 7 = 1-3, 6 x 8 = 1-9, 6 x 9 = 1-15, 6 x 10 = 1-21, 6 x 11 = 1-27, 6 x 12 = 1-33, 6 x 13 = 2-0, 6 x 14 = 2-6, 6 x 15 = 2-12, 6 x 16 = 2-18, 6 x 17 = 2-24, 6 x 18 = 2-30, 6 x 19 = 2-36, 6 x 20 = 3-3, 6 x 21 = 3-9, 6 x 22 = 3-15, 6 x 23 = 3-21, 6 x 24 = 3-27, 6 x 25 = 3-33, 6 x 26 = 4-0, 6 x 27 = 4-6, 6 x 28 = 4-12, 6 x 29 = 4-18, 6 x 30 = 4-24, 6 x 31 = 4-30, 6 x 32 = 4-36, 6 x 33 = 5-3, 6 x 34 = 5-9, 6 x 35 = 5-15, 6 x 36 = 5-21, 6 x 37 = 5-27, 6 x 38 = 5-33, 
7 x 1 = 0-7, 7 x 2 = 0-14, 7 x 3 = 0-21, 7 x 4 = 0-28, 7 x 5 = 0-35, 7 x 6 = 1-3, 7 x 7 = 1-10, 7 x 8 = 1-17, 7 x 9 = 1-24, 7 x 10 = 1-31, 7 x 11 = 1-38, 7 x 12 = 2-6, 7 x 13 = 2-13, 7 x 14 = 2-20, 7 x 15 = 2-27, 7 x 16 = 2-34, 7 x 17 = 3-2, 7 x 18 = 3-9, 7 x 19 = 3-16, 7 x 20 = 3-23, 7 x 21 = 3-30, 7 x 22 = 3-37, 7 x 23 = 4-5, 7 x 24 = 4-12, 7 x 25 = 4-19, 7 x 26 = 4-26, 7 x 27 = 4-33, 7 x 28 = 5-1, 7 x 29 = 5-8, 7 x 30 = 5-15, 7 x 31 = 5-22, 7 x 32 = 5-29, 7 x 33 = 5-36, 7 x 34 = 6-4, 7 x 35 = 6-11, 7 x 36 = 6-18, 7 x 37 = 6-25, 7 x 38 = 6-32, 
8 x 1 = 0-8, 8 x 2 = 0-16, 8 x 3 = 0-24, 8 x 4 = 0-32, 8 x 5 = 1-1, 8 x 6 = 1-9, 8 x 7 = 1-17, 8 x 8 = 1-25, 8 x 9 = 1-33, 8 x 10 = 2-2, 8 x 11 = 2-10, 8 x 12 = 2-18, 8 x 13 = 2-26, 8 x 14 = 2-34, 8 x 15 = 3-3, 8 x 16 = 3-11, 8 x 17 = 3-19, 8 x 18 = 3-27, 8 x 19 = 3-35, 8 x 20 = 4-4, 8 x 21 = 4-12, 8 x 22 = 4-20, 8 x 23 = 4-28, 8 x 24 = 4-36, 8 x 25 = 5-5, 8 x 26 = 5-13, 8 x 27 = 5-21, 8 x 28 = 5-29, 8 x 29 = 5-37, 8 x 30 = 6-6, 8 x 31 = 6-14, 8 x 32 = 6-22, 8 x 33 = 6-30, 8 x 34 = 6-38, 8 x 35 = 7-7, 8 x 36 = 7-15, 8 x 37 = 7-23, 8 x 38 = 7-31, 
9 x 1 = 0-9, 9 x 2 = 0-18, 9 x 3 = 0-27, 9 x 4 = 0-36, 9 x 5 = 1-6, 9 x 6 = 1-15, 9 x 7 = 1-24, 9 x 8 = 1-33, 9 x 9 = 2-3, 9 x 10 = 2-12, 9 x 11 = 2-21, 9 x 12 = 2-30, 9 x 13 = 3-0, 9 x 14 = 3-9, 9 x 15 = 3-18, 9 x 16 = 3-27, 9 x 17 = 3-36, 9 x 18 = 4-6, 9 x 19 = 4-15, 9 x 20 = 4-24, 9 x 21 = 4-33, 9 x 22 = 5-3, 9 x 23 = 5-12, 9 x 24 = 5-21, 9 x 25 = 5-30, 9 x 26 = 6-0, 9 x 27 = 6-9, 9 x 28 = 6-18, 9 x 29 = 6-27, 9 x 30 = 6-36, 9 x 31 = 7-6, 9 x 32 = 7-15, 9 x 33 = 7-24, 9 x 34 = 7-33, 9 x 35 = 8-3, 9 x 36 = 8-12, 9 x 37 = 8-21, 9 x 38 = 8-30, 
10 x 1 = 0-10, 10 x 2 = 0-20, 10 x 3 = 0-30, 10 x 4 = 1-1, 10 x 5 = 1-11, 10 x 6 = 1-21, 10 x 7 = 1-31, 10 x 8 = 2-2, 10 x 9 = 2-12, 10 x 10 = 2-22, 10 x 11 = 2-32, 10 x 12 = 3-3, 10 x 13 = 3-13, 10 x 14 = 3-23, 10 x 15 = 3-33, 10 x 16 = 4-4, 10 x 17 = 4-14, 10 x 18 = 4-24, 10 x 19 = 4-34, 10 x 20 = 5-5, 10 x 21 = 5-15, 10 x 22 = 5-25, 10 x 23 = 5-35, 10 x 24 = 6-6, 10 x 25 = 6-16, 10 x 26 = 6-26, 10 x 27 = 6-36, 10 x 28 = 7-7, 10 x 29 = 7-17, 10 x 30 = 7-27, 10 x 31 = 7-37, 10 x 32 = 8-8, 10 x 33 = 8-18, 10 x 34 = 8-28, 10 x 35 = 8-38, 10 x 36 = 9-9, 10 x 37 = 9-19, 10 x 38 = 9-29, 
