1 x 1 = 0-1, 1 x 2 = 0-2, 1 x 3 = 0-3, 1 x 4 = 0-4, 1 x 5 = 0-5, 1 x 6 = 0-6, 1 x 7 = 0-7, 1 x 8 = 0-8, 1 x 9 = 0-9, 1 x 10 = 0-10, 1 x 11 = 0-11, 1 x 12 = 0-12, 1 x 13 = 0-13, 1 x 14 = 0-14, 1 x 15 = 0-15, 1 x 16 = 0-16, 1 x 17 = 0-17, 1 x 18 = 0-18, 1 x 19 = 0-19, 1 x 20 = 0-20, 1 x 21 = 0-21, 
2 x 1 = 0-2, 2 x 2 = 0-4, 2 x 3 = 0-6, 2 x 4 = 0-8, 2 x 5 = 0-10, 2 x 6 = 0-12, 2 x 7 = 0-14, 2 x 8 = 0-16, 2 x 9 = 0-18, 2 x 10 = 0-20, 2 x 11 = 1-0, 2 x 12 = 1-2, 2 x 13 = 1-4, 2 x 14 = 1-6, 2 x 15 = 1-8, 2 x 16 = 1-10, 2 x 17 = 1-12, 2 x 18 = 1-14, 2 x 19 = 1-16, 2 x 20 = 1-18, 2 x 21 = 1-20, 
3 x 1 = 0-3, 3 x 2 = 0-6, 3 x 3 = 0-9, 3 x 4 = 0-12, 3 x 5 = 0-15, 3 x 6 = 0-18, 3 x 7 = 0-21, 3 x 8 = 1-2, 3 x 9 = 1-5, 3 x 10 = 1-8, 3 x 11 = 1-11, 3 x 12 = 1-14, 3 x 13 = 1-17, 3 x 14 = 1-20, 3 x 15 = 2-1, 3 x 16 = 2-4, 3 x 17 = 2-7, 3 x 18 = 2-10, 3 x 19 = 2-13, 3 x 20 = 2-16, 3 x 21 = 2-19, 
4 x 1 = 0-4, 4 x 2 = 0-8, 4 x 3 = 0-12, 4 x 4 = 0-16, 4 x 5 = 0-20, 4 x 6 = 1-2, 4 x 7 = 1-6, 4 x 8 = 1-10, 4 x 9 = 1-14, 4 x 10 = 1-18, 4 x 11 = 2-0, 4 x 12 = 2-4, 4 x 13 = 2-8, 4 x 14 = 2-12, 4 x 15 = 2-16, 4 x 16 = 2-20, 4 x 17 = 3-2, 4 x 18 = 3-6, 4 x 19 = 3-10, 4 x 20 = 3-14, 4 x 21 = 3-18, 
5 x 1 = 0-5, 5 x 2 = 0-10, 5 x 3 = 0-15, 5 x 4 = 0-20, 5 x 5 = 1-3, 5 x 6 = 1-8, 5 x 7 = 1-13, 5 x 8 = 1-18, 5 x 9 = 2-1, 5 x 10 = 2-6, 5 x 11 = 2-11, 5 x 12 = 2-16, 5 x 13 = 2-21, 5 x 14 = 3-4, 5 x 15 = 3-9, 5 x 16 = 3-14, 5 x 17 = 3-19, 5 x 18 = 4-2, 5 x 19 = 4-7, 5 x 20 = 4-12, 5 x 21 = 4-17, 
6 x 1 = 0-6, 6 x 2 = 0-12, 6 x 3 = 0-18, 6 x 4 = 1-2, 6 x 5 = 1-8, 6 x 6 = 1-14, 6 x 7 = 1-20, 6 x 8 = 2-4, 6 x 9 = 2-10, 6 x 10 = 2-16, 6 x 11 = 3-0, 6 x 12 = 3-6, 6 x 13 = 3-12, 6 x 14 = 3-18, 6 x 15 = 4-2, 6 x 16 = 4-8, 6 x 17 = 4-14, 6 x 18 = 4-20, 6 x 19 = 5-4, 6 x 20 = 5-10, 6 x 21 = 5-16, 
7 x 1 = 0-7, 7 x 2 = 0-14, 7 x 3 = 0-21, 7 x 4 = 1-6, 7 x 5 = 1-13, 7 x 6 = 1-20, 7 x 7 = 2-5, 7 x 8 = 2-12, 7 x 9 = 2-19, 7 x 10 = 3-4, 7 x 11 = 3-11, 7 x 12 = 3-18, 7 x 13 = 4-3, 7 x 14 = 4-10, 7 x 15 = 4-17, 7 x 16 = 5-2, 7 x 17 = 5-9, 7 x 18 = 5-16, 7 x 19 = 6-1, 7 x 20 = 6-8, 7 x 21 = 6-15, 
8 x 1 = 0-8, 8 x 2 = 0-16, 8 x 3 = 1-2, 8 x 4 = 1-10, 8 x 5 = 1-18, 8 x 6 = 2-4, 8 x 7 = 2-12, 8 x 8 = 2-20, 8 x 9 = 3-6, 8 x 10 = 3-14, 8 x 11 = 4-0, 8 x 12 = 4-8, 8 x 13 = 4-16, 8 x 14 = 5-2, 8 x 15 = 5-10, 8 x 16 = 5-18, 8 x 17 = 6-4, 8 x 18 = 6-12, 8 x 19 = 6-20, 8 x 20 = 7-6, 8 x 21 = 7-14, 
9 x 1 = 0-9, 9 x 2 = 0-18, 9 x 3 = 1-5, 9 x 4 = 1-14, 9 x 5 = 2-1, 9 x 6 = 2-10, 9 x 7 = 2-19, 9 x 8 = 3-6, 9 x 9 = 3-15, 9 x 10 = 4-2, 9 x 11 = 4-11, 9 x 12 = 4-20, 9 x 13 = 5-7, 9 x 14 = 5-16, 9 x 15 = 6-3, 9 x 16 = 6-12, 9 x 17 = 6-21, 9 x 18 = 7-8, 9 x 19 = 7-17, 9 x 20 = 8-4, 9 x 21 = 8-13, 
10 x 1 = 0-10, 10 x 2 = 0-20, 10 x 3 = 1-8, 10 x 4 = 1-18, 10 x 5 = 2-6, 10 x 6 = 2-16, 10 x 7 = 3-4, 10 x 8 = 3-14, 10 x 9 = 4-2, 10 x 10 = 4-12, 10 x 11 = 5-0, 10 x 12 = 5-10, 10 x 13 = 5-20, 10 x 14 = 6-8, 10 x 15 = 6-18, 10 x 16 = 7-6, 10 x 17 = 7-16, 10 x 18 = 8-4, 10 x 19 = 8-14, 10 x 20 = 9-2, 10 x 21 = 9-12, 
